po_item_id,po_id,product_id,ordered_quantity,purchase_unit_price
POI000250,PO00185,PROD047,172,49.5
POI000251,PO00185,PROD023,210,116.21
POI000252,PO00186,PROD004,175,84.13
POI000253,PO00187,PROD030,88,89.36
POI000254,PO00188,PROD048,164,41.27
POI000255,PO00189,PROD020,122,78.66
POI000256,PO00190,PROD036,44,30.4
POI000257,PO00190,PROD016,84,32.68
POI000258,PO00191,PROD009,98,22.71
POI000259,PO00192,PROD035,210,58.96
POI000260,PO00193,PROD038,195,62.88
POI000261,PO00194,PROD009,161,21.74
POI000262,PO00195,PROD015,47,57.0
POI000263,PO00196,PROD015,163,56.99
POI000264,PO00197,PROD035,89,56.14
POI000265,PO00198,PROD045,80,108.43
POI000266,PO00199,PROD021,207,99.86
POI000267,PO00200,PROD008,61,103.85
POI000268,PO00201,PROD005,133,17.43
POI000269,PO00202,PROD044,176,43.87
POI000270,PO00203,PROD016,178,34.56
POI000271,PO00204,PROD041,65,58.4
POI000272,PO00205,PROD032,86,120.96
POI000273,PO00205,PROD024,50,117.02
POI000274,PO00205,PROD031,42,93.46
POI000275,PO00206,PROD013,87,76.68
POI000276,PO00207,PROD032,205,102.4
POI000277,PO00207,PROD034,55,43.55
POI000278,PO00208,PROD016,157,33.04
POI000279,PO00208,PROD028,145,12.12
POI000280,PO00209,PROD016,50,33.24
POI000281,PO00210,PROD045,219,100.78
POI000282,PO00211,PROD011,119,46.82
POI000283,PO00211,PROD012,141,119.66
POI000284,PO00212,PROD040,150,88.91
POI000285,PO00212,PROD038,146,67.03
POI000286,PO00213,PROD014,75,97.99
POI000287,PO00213,PROD005,74,19.69
POI000288,PO00213,PROD002,214,59.56
POI000289,PO00214,PROD027,47,55.51
POI000290,PO00215,PROD004,219,75.78
POI000291,PO00216,PROD001,54,92.08
POI000292,PO00216,PROD029,111,24.31
POI000293,PO00217,PROD040,98,77.53
POI000294,PO00218,PROD046,218,106.68
POI000295,PO00219,PROD022,67,51.82
POI000296,PO00220,PROD046,94,95.2
POI000297,PO00221,PROD028,217,11.99
POI000298,PO00221,PROD012,100,104.46
POI000299,PO00221,PROD004,174,89.42
POI000300,PO00222,PROD047,79,55.03
POI000301,PO00222,PROD014,182,110.02
POI000302,PO00223,PROD034,75,43.55
POI000303,PO00224,PROD012,175,105.02
POI000304,PO00225,PROD014,74,103.91
POI000305,PO00226,PROD008,144,99.6
POI000306,PO00226,PROD035,102,64.47
POI000307,PO00227,PROD038,139,57.49
POI000308,PO00227,PROD025,162,98.84
POI000309,PO00228,PROD010,146,57.72
POI000310,PO00228,PROD024,170,118.06
POI000311,PO00229,PROD010,130,56.51
POI000312,PO00230,PROD046,206,107.62
POI000313,PO00231,PROD022,189,46.54
POI000314,PO00231,PROD034,192,54.84
POI000315,PO00232,PROD031,162,86.28
POI000316,PO00233,PROD045,69,104.52
POI000317,PO00234,PROD016,42,37.18
POI000318,PO00235,PROD029,214,24.13
POI000319,PO00236,PROD042,218,98.47
POI000320,PO00236,PROD030,44,85.58
POI000321,PO00237,PROD045,175,109.85
POI000322,PO00238,PROD020,103,75.52
POI000323,PO00239,PROD010,76,58.47
POI000324,PO00240,PROD017,113,77.72
POI000325,PO00240,PROD005,142,18.59
POI000326,PO00241,PROD048,55,41.05
POI000327,PO00242,PROD032,103,102.4
POI000328,PO00243,PROD012,137,114.51
POI000329,PO00243,PROD007,153,93.78
POI000330,PO00244,PROD040,168,89.0
POI000331,PO00245,PROD008,174,97.06
POI000332,PO00246,PROD006,149,121.37
POI000333,PO00246,PROD025,52,96.46
POI000334,PO00247,PROD040,144,73.06
POI000335,PO00248,PROD040,101,89.67
POI000336,PO00249,PROD043,127,95.91
POI000337,PO00249,PROD016,132,33.32
POI000338,PO00250,PROD027,187,55.84
POI000339,PO00251,PROD044,155,47.91
POI000340,PO00252,PROD011,80,50.55
POI000341,PO00252,PROD007,134,86.02
POI000342,PO00253,PROD043,75,85.29
POI000343,PO00253,PROD010,139,56.94
POI000344,PO00254,PROD031,194,98.41
POI000345,PO00255,PROD025,54,83.76
POI000346,PO00256,PROD002,150,56.19
POI000347,PO00256,PROD013,58,74.86
POI000348,PO00257,PROD017,79,69.48
POI000349,PO00258,PROD048,137,44.6
POI000350,PO00258,PROD012,121,121.55
POI000351,PO00259,PROD018,178,16.96
POI000352,PO00259,PROD006,41,109.33
POI000353,PO00259,PROD004,128,89.48
POI000354,PO00260,PROD033,119,39.15
POI000355,PO00261,PROD024,59,105.61
POI000356,PO00262,PROD028,123,14.01
POI000357,PO00263,PROD019,199,93.93
POI000358,PO00263,PROD009,81,23.99
POI000359,PO00264,PROD004,97,75.78
POI000360,PO00265,PROD021,200,85.85
POI000361,PO00266,PROD009,75,23.02
POI000362,PO00267,PROD006,128,110.43
POI000363,PO00268,PROD048,62,44.57
POI000364,PO00269,PROD047,142,54.53
POI000365,PO00270,PROD022,61,44.47
POI000366,PO00271,PROD030,172,74.36
POI000367,PO00271,PROD025,97,83.76
POI000368,PO00272,PROD037,179,21.41
POI000369,PO00273,PROD012,158,105.11
POI000370,PO00274,PROD019,208,109.14
POI000371,PO00275,PROD033,149,39.15
POI000372,PO00276,PROD004,77,92.84
POI000373,PO00277,PROD040,216,73.06
POI000374,PO00278,PROD013,200,85.91
POI000375,PO00278,PROD010,120,57.02
POI000376,PO00279,PROD016,148,33.3
POI000377,PO00280,PROD041,73,59.64
POI000378,PO00281,PROD045,57,106.24
POI000379,PO00282,PROD024,67,104.05
POI000380,PO00282,PROD044,130,44.69
POI000381,PO00283,PROD040,120,83.18
POI000382,PO00284,PROD034,42,48.87
POI000383,PO00284,PROD015,203,60.09
POI000384,PO00285,PROD013,158,86.21
POI000385,PO00286,PROD032,48,109.0
POI000386,PO00287,PROD042,75,112.59
POI000387,PO00288,PROD004,121,90.11
POI000388,PO00289,PROD003,69,102.75
POI000389,PO00290,PROD013,47,85.26
POI000390,PO00291,PROD009,52,24.26
POI000391,PO00292,PROD039,93,30.74
POI000392,PO00293,PROD017,126,65.49
POI000393,PO00294,PROD042,61,89.11
POI000394,PO00295,PROD032,217,102.4
POI000395,PO00296,PROD008,128,91.69
POI000396,PO00297,PROD025,65,83.76
POI000397,PO00297,PROD040,143,73.06
POI000398,PO00298,PROD026,156,29.73
POI000399,PO00299,PROD037,95,24.88
POI000400,PO00299,PROD005,206,19.48
POI000401,PO00300,PROD039,215,31.72
POI000402,PO00300,PROD038,146,65.54
POI000403,PO00300,PROD010,85,53.92
POI000404,PO00301,PROD045,75,106.23
POI000405,PO00302,PROD032,83,115.32
POI000406,PO00303,PROD034,181,46.67
POI000407,PO00304,PROD022,94,53.16
POI000408,PO00305,PROD018,141,14.07
POI000409,PO00306,PROD017,100,67.7
POI000410,PO00307,PROD035,142,65.68
POI000411,PO00308,PROD026,64,27.95
POI000412,PO00309,PROD008,176,97.9
POI000413,PO00309,PROD043,195,79.97
POI000414,PO00310,PROD024,97,119.55
POI000415,PO00310,PROD045,52,112.08
POI000416,PO00311,PROD026,215,31.63
POI000417,PO00311,PROD020,118,85.07
POI000418,PO00312,PROD012,54,111.06
POI000419,PO00312,PROD039,83,33.08
POI000420,PO00312,PROD016,100,36.68
POI000421,PO00313,PROD017,146,75.35
POI000422,PO00314,PROD023,76,115.7
POI000423,PO00315,PROD033,147,39.15
POI000424,PO00316,PROD003,64,105.01
POI000425,PO00317,PROD045,170,93.32
POI000426,PO00317,PROD007,116,102.86
POI000427,PO00318,PROD024,208,108.88
POI000428,PO00319,PROD027,134,61.76
POI000429,PO00319,PROD029,190,27.84
POI000430,PO00320,PROD019,131,94.66
POI000431,PO00320,PROD007,182,88.29
POI000432,PO00321,PROD017,101,73.74
POI000433,PO00322,PROD011,198,54.72
POI000434,PO00323,PROD014,98,92.28
POI000435,PO00323,PROD038,147,59.61
POI000436,PO00324,PROD005,46,19.14
POI000437,PO00325,PROD033,91,39.15
POI000438,PO00326,PROD021,117,100.84
POI000439,PO00326,PROD001,117,104.76
POI000440,PO00327,PROD035,212,63.14
POI000441,PO00328,PROD037,142,22.99
POI000442,PO00329,PROD045,200,105.45
POI000443,PO00330,PROD018,108,15.41
POI000444,PO00330,PROD014,190,93.11
POI000445,PO00331,PROD041,99,57.77
POI000446,PO00332,PROD042,90,109.34
POI000447,PO00333,PROD013,133,81.78
POI000448,PO00333,PROD032,167,128.1
POI000449,PO00333,PROD031,199,101.89
POI000450,PO00334,PROD048,80,43.21
POI000451,PO00335,PROD024,147,117.11
POI000452,PO00336,PROD020,204,85.06
POI000453,PO00336,PROD015,218,58.63
POI000454,PO00337,PROD029,173,28.07
POI000455,PO00338,PROD020,104,77.61
POI000456,PO00339,PROD041,213,59.49
POI000457,PO00340,PROD034,140,54.29
POI000458,PO00340,PROD031,77,95.85
POI000459,PO00340,PROD028,161,12.37
POI000460,PO00341,PROD031,146,85.23
POI000461,PO00341,PROD040,142,79.98
POI000462,PO00341,PROD013,187,86.59
POI000463,PO00342,PROD034,117,43.55
POI000464,PO00343,PROD045,200,106.87
POI000465,PO00343,PROD006,110,117.73
POI000466,PO00344,PROD044,198,44.8
POI000467,PO00345,PROD019,49,107.49
POI000468,PO00345,PROD029,40,25.41
POI000469,PO00346,PROD019,211,105.02
POI000470,PO00347,PROD036,48,27.03
POI000471,PO00348,PROD032,163,108.47
POI000472,PO00349,PROD029,172,27.64
POI000473,PO00349,PROD047,73,57.49
POI000474,PO00350,PROD033,193,43.15
POI000475,PO00350,PROD025,213,101.07
POI000476,PO00351,PROD009,144,21.31
POI000477,PO00352,PROD021,85,101.76
POI000478,PO00353,PROD013,69,89.53
POI000479,PO00354,PROD034,153,54.83
POI000480,PO00355,PROD011,58,46.41
POI000481,PO00356,PROD024,41,102.7
POI000482,PO00357,PROD019,156,98.14
POI000483,PO00357,PROD010,114,53.95
POI000484,PO00357,PROD043,89,84.92
POI000485,PO00358,PROD011,153,54.84
POI000486,PO00359,PROD020,51,79.24
POI000487,PO00360,PROD012,191,120.04
POI000488,PO00361,PROD042,154,102.8
POI000489,PO00362,PROD025,183,92.95
POI000490,PO00363,PROD024,132,105.51
POI000491,PO00364,PROD034,119,43.55
POI000492,PO00365,PROD022,41,52.95
POI000493,PO00365,PROD035,101,59.67
POI000494,PO00366,PROD039,106,32.1
POI000495,PO00367,PROD035,68,55.98
POI000496,PO00368,PROD029,132,26.61
POI000497,PO00369,PROD035,173,60.59
POI000498,PO00370,PROD046,166,100.69
POI000499,PO00371,PROD013,138,86.84
POI000500,PO00371,PROD016,68,33.95
POI000501,PO00372,PROD025,79,104.07
POI000502,PO00373,PROD012,136,121.38
POI000503,PO00373,PROD048,57,44.4
POI000504,PO00374,PROD010,149,56.85
POI000505,PO00374,PROD036,129,28.89
POI000506,PO00375,PROD045,73,96.98
POI000507,PO00376,PROD006,56,128.43
POI000508,PO00377,PROD022,135,50.52
POI000509,PO00377,PROD019,63,98.15
POI000510,PO00378,PROD002,128,60.03
POI000511,PO00379,PROD022,51,53.4
POI000512,PO00380,PROD001,104,103.24
POI000513,PO00381,PROD034,219,43.55
POI000514,PO00382,PROD037,85,22.79
POI000515,PO00383,PROD013,202,81.89
POI000516,PO00383,PROD037,72,23.63
POI000517,PO00384,PROD005,165,20.5
POI000518,PO00384,PROD022,64,48.48
POI000519,PO00385,PROD047,157,56.02
POI000520,PO00386,PROD039,172,36.82
POI000521,PO00387,PROD046,106,95.66
POI000522,PO00387,PROD003,92,102.28
POI000523,PO00388,PROD009,100,24.61
POI000524,PO00389,PROD045,151,108.72
POI000525,PO00390,PROD046,116,93.27
POI000526,PO00391,PROD008,54,101.98
POI000527,PO00392,PROD044,217,44.18
POI000528,PO00393,PROD028,113,12.06
POI000529,PO00393,PROD020,203,79.55
POI000530,PO00394,PROD024,111,113.19
POI000531,PO00394,PROD031,45,84.45
POI000532,PO00395,PROD043,76,96.73
POI000533,PO00396,PROD004,205,75.78
POI000534,PO00397,PROD029,161,23.78
POI000535,PO00398,PROD021,45,99.43
POI000536,PO00398,PROD034,174,47.41
POI000537,PO00399,PROD033,95,43.91
POI000538,PO00400,PROD027,199,62.16
POI000539,PO00400,PROD001,71,91.95
POI000540,PO00400,PROD008,174,88.99
POI000541,PO00401,PROD048,96,38.64
POI000542,PO00401,PROD001,43,102.26
POI000543,PO00402,PROD002,161,52.93
POI000544,PO00403,PROD032,171,113.64
POI000545,PO00403,PROD003,199,112.85
POI000546,PO00404,PROD003,194,101.85
POI000547,PO00405,PROD008,78,107.45
POI000548,PO00406,PROD008,85,107.51
POI000549,PO00406,PROD046,168,97.15
POI000550,PO00407,PROD021,43,92.85
POI000551,PO00407,PROD041,193,61.79
POI000552,PO00408,PROD019,191,94.05
POI000553,PO00409,PROD032,43,120.28
POI000554,PO00410,PROD029,121,25.88
POI000555,PO00411,PROD008,83,98.76
POI000556,PO00411,PROD030,207,94.28
POI000557,PO00412,PROD005,55,19.26
POI000558,PO00413,PROD018,80,15.52
POI000559,PO00414,PROD015,132,56.54
POI000560,PO00415,PROD041,100,61.27
POI000561,PO00416,PROD005,179,19.28
POI000562,PO00417,PROD023,67,113.38
POI000563,PO00418,PROD033,73,42.16
POI000564,PO00419,PROD033,58,46.05
POI000565,PO00420,PROD032,198,128.27
POI000566,PO00421,PROD028,157,13.58
POI000567,PO00422,PROD036,48,31.7
POI000568,PO00423,PROD037,90,23.67
POI000569,PO00423,PROD031,53,93.16
POI000570,PO00424,PROD026,116,30.15
POI000571,PO00425,PROD011,78,46.63
POI000572,PO00425,PROD007,219,90.85
POI000573,PO00425,PROD020,42,79.99
POI000574,PO00426,PROD031,114,87.53
POI000575,PO00426,PROD040,109,81.71
POI000576,PO00427,PROD001,193,100.99
POI000577,PO00427,PROD027,45,64.18
POI000578,PO00427,PROD008,140,101.44
POI000579,PO00428,PROD036,65,28.49
POI000580,PO00428,PROD033,103,49.65
POI000581,PO00429,PROD020,162,72.48
POI000582,PO00430,PROD026,83,29.05
POI000583,PO00430,PROD027,197,57.38
POI000584,PO00431,PROD041,190,53.26
POI000585,PO00432,PROD028,204,13.54
POI000586,PO00432,PROD015,73,55.76
POI000587,PO00433,PROD047,105,50.6
POI000588,PO00434,PROD021,125,93.78
POI000589,PO00435,PROD042,99,97.11
POI000590,PO00435,PROD016,72,32.6
POI000591,PO00435,PROD043,87,87.25
POI000592,PO00436,PROD019,42,93.42
POI000593,PO00436,PROD022,125,46.5
POI000594,PO00437,PROD021,159,101.65
POI000595,PO00438,PROD039,118,33.47
POI000596,PO00439,PROD045,90,106.48
POI000597,PO00440,PROD034,91,50.02
POI000598,PO00441,PROD048,115,40.92
POI000599,PO00442,PROD035,93,56.79
POI000600,PO00443,PROD024,51,106.84
POI000601,PO00444,PROD030,73,82.26
POI000602,PO00445,PROD030,96,93.22
POI000603,PO00445,PROD036,62,28.27
POI000604,PO00446,PROD020,180,76.95
POI000605,PO00447,PROD027,105,61.26
POI000606,PO00447,PROD018,186,15.59
POI000607,PO00448,PROD019,138,105.61
POI000608,PO00449,PROD040,204,86.1
POI000609,PO00450,PROD012,175,124.22
POI000610,PO00450,PROD046,89,96.48
POI000611,PO00450,PROD048,81,38.58
POI000612,PO00451,PROD019,68,93.56
POI000613,PO00451,PROD009,77,22.63
POI000614,PO00452,PROD043,109,86.91
POI000615,PO00453,PROD042,190,101.54
POI000616,PO00454,PROD046,47,104.81
POI000617,PO00455,PROD001,94,89.72
POI000618,PO00455,PROD026,61,28.23
POI000619,PO00455,PROD043,158,92.92
POI000620,PO00456,PROD024,55,119.9
POI000621,PO00457,PROD002,194,53.9
POI000622,PO00458,PROD042,145,89.11
POI000623,PO00459,PROD022,192,44.93
POI000624,PO00460,PROD021,90,93.69
POI000625,PO00461,PROD010,153,55.87
POI000626,PO00461,PROD028,91,14.15
POI000627,PO00462,PROD043,162,83.26
POI000628,PO00463,PROD045,68,98.7
POI000629,PO00464,PROD002,195,61.58
POI000630,PO00464,PROD005,153,18.0
POI000631,PO00465,PROD022,153,48.96
POI000632,PO00466,PROD002,117,55.36
POI000633,PO00466,PROD017,194,69.56
POI000634,PO00467,PROD003,163,107.95
POI000635,PO00468,PROD002,148,54.75
POI000636,PO00469,PROD002,80,54.5
POI000637,PO00470,PROD016,166,33.47
POI000638,PO00471,PROD018,75,14.82
POI000639,PO00471,PROD044,194,43.74
POI000640,PO00472,PROD043,118,85.08
POI000641,PO00473,PROD014,83,95.16
POI000642,PO00473,PROD007,71,93.21
POI000643,PO00473,PROD047,96,49.81
POI000644,PO00474,PROD022,185,47.92
POI000645,PO00475,PROD037,50,23.22
POI000646,PO00476,PROD036,216,28.97
POI000647,PO00477,PROD013,80,81.52
POI000648,PO00477,PROD048,125,39.89
POI000649,PO00477,PROD043,66,91.92
POI000650,PO00478,PROD028,140,13.66
POI000651,PO00479,PROD015,190,55.03
POI000652,PO00480,PROD040,113,73.06
POI000653,PO00480,PROD023,131,102.71
POI000654,PO00481,PROD044,197,43.85
POI000655,PO00481,PROD014,134,92.94
POI000656,PO00482,PROD003,140,115.19
POI000657,PO00483,PROD040,145,73.06
POI000658,PO00483,PROD004,200,75.78
POI000659,PO00484,PROD010,196,61.35
POI000660,PO00485,PROD036,190,27.16
POI000661,PO00486,PROD034,99,50.78
POI000662,PO00487,PROD040,173,87.58
POI000663,PO00488,PROD034,174,43.55
