event_id,timestamp,activity
EV000711,2025-02-01 00:00:00,Receive Goods
EV002836,2025-02-01 00:00:00,Receive Goods
EV002427,2025-02-01 00:00:00,Add PO Item
EV000713,2025-02-01 00:00:00,Receive Goods
EV000715,2025-02-01 00:00:00,Receive Goods
EV002148,2025-02-01 00:00:00,Receive Goods
EV002837,2025-02-01 08:00:00,Put Away
EV000712,2025-02-01 08:00:00,Put Away
EV000714,2025-02-01 08:00:00,Put Away
EV000716,2025-02-01 08:00:00,Put Away
EV002149,2025-02-01 08:00:00,Put Away
EV004651,2025-02-02 00:00:00,Create Purchase Order
EV002985,2025-02-02 00:00:00,Receive Goods
EV002339,2025-02-02 00:00:00,Receive Goods
EV003333,2025-02-02 00:00:00,Dispatch Delivery
EV002151,2025-02-02 00:00:00,Receive Goods
EV002337,2025-02-02 00:00:00,Receive Goods
EV003641,2025-02-02 00:00:00,Dispatch Delivery
EV002298,2025-02-02 00:00:00,Create Purchase Order
EV002428,2025-02-02 00:00:00,Dispatch Delivery
EV003177,2025-02-02 00:00:00,Dispatch Delivery
EV001136,2025-02-02 00:00:00,Dispatch Delivery
EV004652,2025-02-02 04:00:00,Approve Purchase Order
EV002299,2025-02-02 04:00:00,Approve Purchase Order
EV002340,2025-02-02 08:00:00,Put Away
EV002986,2025-02-02 08:00:00,Put Away
EV002338,2025-02-02 08:00:00,Put Away
EV002152,2025-02-02 08:00:00,Put Away
EV004653,2025-02-03 00:00:00,Add PO Item
EV001965,2025-02-03 00:00:00,Create Purchase Order
EV002300,2025-02-03 00:00:00,Add PO Item
EV004654,2025-02-03 00:00:00,Add PO Item
EV001966,2025-02-03 04:00:00,Approve Purchase Order
EV002988,2025-02-04 00:00:00,Receive Goods
EV000476,2025-02-04 00:00:00,Create Purchase Order
EV004612,2025-02-04 00:00:00,Receive Goods
EV004610,2025-02-04 00:00:00,Receive Goods
EV003639,2025-02-04 00:00:00,Receive Goods
EV001410,2025-02-04 00:00:00,Create Purchase Order
EV003008,2025-02-04 00:00:00,Dispatch Delivery
EV001967,2025-02-04 00:00:00,Add PO Item
EV000477,2025-02-04 04:00:00,Approve Purchase Order
EV001411,2025-02-04 04:00:00,Approve Purchase Order
EV004611,2025-02-04 08:00:00,Put Away
EV002989,2025-02-04 08:00:00,Put Away
EV003640,2025-02-04 08:00:00,Put Away
EV004613,2025-02-04 08:00:00,Put Away
EV001139,2025-02-05 00:00:00,Dispatch Delivery
EV001412,2025-02-05 00:00:00,Add PO Item
EV000478,2025-02-05 00:00:00,Add PO Item
EV003178,2025-02-05 00:00:00,Receive Goods
EV000001,2025-02-05 00:00:00,Create Purchase Order
EV002154,2025-02-05 00:00:00,Receive Goods
EV000002,2025-02-05 04:00:00,Approve Purchase Order
EV003179,2025-02-05 08:00:00,Put Away
EV002155,2025-02-05 08:00:00,Put Away
EV003183,2025-02-06 00:00:00,Dispatch Delivery
EV000003,2025-02-06 00:00:00,Add PO Item
EV003181,2025-02-07 00:00:00,Receive Goods
EV000479,2025-02-07 00:00:00,Dispatch Delivery
EV001413,2025-02-07 00:00:00,Dispatch Delivery
EV003011,2025-02-07 00:00:00,Dispatch Delivery
EV002638,2025-02-07 00:00:00,Create Purchase Order
EV003289,2025-02-07 00:00:00,Receive Goods
EV000784,2025-02-07 00:00:00,Receive Goods
EV002639,2025-02-07 04:00:00,Approve Purchase Order
EV003182,2025-02-07 08:00:00,Put Away
EV000785,2025-02-07 08:00:00,Put Away
EV003290,2025-02-07 08:00:00,Put Away
EV000138,2025-02-08 00:00:00,Receive Goods
EV000141,2025-02-08 00:00:00,Receive Goods
EV002641,2025-02-08 00:00:00,Add PO Item
EV002640,2025-02-08 00:00:00,Add PO Item
EV003338,2025-02-08 00:00:00,Dispatch Delivery
EV002301,2025-02-08 00:00:00,Dispatch Delivery
EV000323,2025-02-08 00:00:00,Create Purchase Order
EV000324,2025-02-08 04:00:00,Approve Purchase Order
EV000142,2025-02-08 08:00:00,Put Away
EV000139,2025-02-08 08:00:00,Put Away
EV002429,2025-02-09 00:00:00,Receive Goods
EV004655,2025-02-09 00:00:00,Dispatch Delivery
EV003327,2025-02-09 00:00:00,Receive Goods
EV003184,2025-02-09 00:00:00,Receive Goods
EV003325,2025-02-09 00:00:00,Receive Goods
EV002304,2025-02-09 00:00:00,Dispatch Delivery
EV000325,2025-02-09 00:00:00,Add PO Item
EV003642,2025-02-09 00:00:00,Receive Goods
EV002430,2025-02-09 08:00:00,Put Away
EV003326,2025-02-09 08:00:00,Put Away
EV003328,2025-02-09 08:00:00,Put Away
EV003185,2025-02-09 08:00:00,Put Away
EV003643,2025-02-09 08:00:00,Put Away
EV003809,2025-02-10 00:00:00,Receive Goods
EV004660,2025-02-10 00:00:00,Dispatch Delivery
EV001416,2025-02-10 00:00:00,Dispatch Delivery
EV001968,2025-02-10 00:00:00,Dispatch Delivery
EV000004,2025-02-10 00:00:00,Dispatch Delivery
EV003810,2025-02-10 08:00:00,Put Away
EV002431,2025-02-11 00:00:00,Dispatch Delivery
EV002755,2025-02-11 00:00:00,Create Purchase Order
EV002642,2025-02-11 00:00:00,Dispatch Delivery
EV002302,2025-02-11 00:00:00,Receive Goods
EV002756,2025-02-11 04:00:00,Approve Purchase Order
EV002303,2025-02-11 08:00:00,Put Away
EV002305,2025-02-12 00:00:00,Receive Goods
EV003334,2025-02-12 00:00:00,Receive Goods
EV003230,2025-02-12 00:00:00,Create Purchase Order
EV002757,2025-02-12 00:00:00,Add PO Item
EV003306,2025-02-12 00:00:00,Create Purchase Order
EV003336,2025-02-12 00:00:00,Receive Goods
EV004520,2025-02-12 00:00:00,Create Purchase Order
EV004521,2025-02-12 04:00:00,Approve Purchase Order
EV003231,2025-02-12 04:00:00,Approve Purchase Order
EV003307,2025-02-12 04:00:00,Approve Purchase Order
EV003337,2025-02-12 08:00:00,Put Away
EV003335,2025-02-12 08:00:00,Put Away
EV002306,2025-02-12 08:00:00,Put Away
EV004522,2025-02-13 00:00:00,Add PO Item
EV003308,2025-02-13 00:00:00,Add PO Item
EV003233,2025-02-13 00:00:00,Add PO Item
EV003806,2025-02-13 00:00:00,Receive Goods
EV003234,2025-02-13 00:00:00,Add PO Item
EV001702,2025-02-13 00:00:00,Create Purchase Order
EV004523,2025-02-13 00:00:00,Add PO Item
EV003232,2025-02-13 00:00:00,Add PO Item
EV001703,2025-02-13 04:00:00,Approve Purchase Order
EV003807,2025-02-13 08:00:00,Put Away
EV001414,2025-02-14 00:00:00,Receive Goods
EV000482,2025-02-14 00:00:00,Dispatch Delivery
EV001704,2025-02-14 00:00:00,Add PO Item
EV000480,2025-02-14 00:00:00,Receive Goods
EV003258,2025-02-14 00:00:00,Create Purchase Order
EV002307,2025-02-14 00:00:00,Dispatch Delivery
EV001971,2025-02-14 00:00:00,Dispatch Delivery
EV003309,2025-02-14 00:00:00,Dispatch Delivery
EV000733,2025-02-14 00:00:00,Receive Goods
EV004524,2025-02-14 00:00:00,Dispatch Delivery
EV002758,2025-02-14 00:00:00,Dispatch Delivery
EV004665,2025-02-14 00:00:00,Dispatch Delivery
EV000326,2025-02-14 00:00:00,Dispatch Delivery
EV003259,2025-02-14 04:00:00,Approve Purchase Order
EV000734,2025-02-14 08:00:00,Put Away
EV001415,2025-02-14 08:00:00,Put Away
EV000481,2025-02-14 08:00:00,Put Away
EV002729,2025-02-15 00:00:00,Receive Goods
EV002727,2025-02-15 00:00:00,Receive Goods
EV001134,2025-02-15 00:00:00,Receive Goods
EV003292,2025-02-15 00:00:00,Receive Goods
EV002434,2025-02-15 00:00:00,Dispatch Delivery
EV003260,2025-02-15 00:00:00,Add PO Item
EV003343,2025-02-15 00:00:00,Create Purchase Order
EV003344,2025-02-15 04:00:00,Approve Purchase Order
EV003293,2025-02-15 08:00:00,Put Away
EV002730,2025-02-15 08:00:00,Put Away
EV002728,2025-02-15 08:00:00,Put Away
EV001135,2025-02-15 08:00:00,Put Away
EV003346,2025-02-16 00:00:00,Add PO Item
EV003345,2025-02-16 00:00:00,Add PO Item
EV002051,2025-02-16 00:00:00,Create Purchase Order
EV002052,2025-02-16 04:00:00,Approve Purchase Order
EV000546,2025-02-17 00:00:00,Create Purchase Order
EV001417,2025-02-17 00:00:00,Receive Goods
EV002308,2025-02-17 00:00:00,Receive Goods
EV002053,2025-02-17 00:00:00,Add PO Item
EV000547,2025-02-17 04:00:00,Approve Purchase Order
EV002309,2025-02-17 08:00:00,Put Away
EV001418,2025-02-17 08:00:00,Put Away
EV003235,2025-02-18 00:00:00,Dispatch Delivery
EV000548,2025-02-18 00:00:00,Add PO Item
EV003339,2025-02-18 00:00:00,Receive Goods
EV003341,2025-02-18 00:00:00,Receive Goods
EV002432,2025-02-18 00:00:00,Receive Goods
EV002761,2025-02-18 00:00:00,Dispatch Delivery
EV003340,2025-02-18 08:00:00,Put Away
EV003342,2025-02-18 08:00:00,Put Away
EV002433,2025-02-18 08:00:00,Put Away
EV003242,2025-02-19 00:00:00,Dispatch Delivery
EV004658,2025-02-19 00:00:00,Receive Goods
EV000485,2025-02-19 00:00:00,Dispatch Delivery
EV004656,2025-02-19 00:00:00,Receive Goods
EV004657,2025-02-19 08:00:00,Put Away
EV004659,2025-02-19 08:00:00,Put Away
EV000549,2025-02-20 00:00:00,Dispatch Delivery
EV000005,2025-02-20 00:00:00,Receive Goods
EV002734,2025-02-20 00:00:00,Receive Goods
EV002732,2025-02-20 00:00:00,Receive Goods
EV003312,2025-02-20 00:00:00,Dispatch Delivery
EV001708,2025-02-20 00:00:00,Dispatch Delivery
EV003790,2025-02-20 00:00:00,Create Purchase Order
EV001705,2025-02-20 00:00:00,Dispatch Delivery
EV001137,2025-02-20 00:00:00,Receive Goods
EV003261,2025-02-20 00:00:00,Dispatch Delivery
EV003347,2025-02-20 00:00:00,Dispatch Delivery
EV004663,2025-02-20 00:00:00,Receive Goods
EV004661,2025-02-20 00:00:00,Receive Goods
EV003791,2025-02-20 04:00:00,Approve Purchase Order
EV004662,2025-02-20 08:00:00,Put Away
EV001138,2025-02-20 08:00:00,Put Away
EV002733,2025-02-20 08:00:00,Put Away
EV000006,2025-02-20 08:00:00,Put Away
EV004664,2025-02-20 08:00:00,Put Away
EV002735,2025-02-20 08:00:00,Put Away
EV000483,2025-02-21 00:00:00,Receive Goods
EV002739,2025-02-21 00:00:00,Receive Goods
EV000327,2025-02-21 00:00:00,Receive Goods
EV002737,2025-02-21 00:00:00,Receive Goods
EV001233,2025-02-21 00:00:00,Create Purchase Order
EV003792,2025-02-21 00:00:00,Add PO Item
EV001234,2025-02-21 04:00:00,Approve Purchase Order
EV000484,2025-02-21 08:00:00,Put Away
EV002738,2025-02-21 08:00:00,Put Away
EV002740,2025-02-21 08:00:00,Put Away
EV000328,2025-02-21 08:00:00,Put Away
EV002435,2025-02-22 00:00:00,Receive Goods
EV003382,2025-02-22 00:00:00,Create Purchase Order
EV001235,2025-02-22 00:00:00,Add PO Item
EV005174,2025-02-22 00:00:00,Create Purchase Order
EV002005,2025-02-22 00:00:00,Create Purchase Order
EV003009,2025-02-22 00:00:00,Receive Goods
EV005175,2025-02-22 04:00:00,Approve Purchase Order
EV002006,2025-02-22 04:00:00,Approve Purchase Order
EV003383,2025-02-22 04:00:00,Approve Purchase Order
EV003010,2025-02-22 08:00:00,Put Away
EV002436,2025-02-22 08:00:00,Put Away
EV003793,2025-02-23 00:00:00,Dispatch Delivery
EV002054,2025-02-23 00:00:00,Dispatch Delivery
EV003384,2025-02-23 00:00:00,Add PO Item
EV001236,2025-02-23 00:00:00,Dispatch Delivery
EV005176,2025-02-23 00:00:00,Add PO Item
EV002007,2025-02-23 00:00:00,Add PO Item
EV002008,2025-02-24 00:00:00,Dispatch Delivery
EV003352,2025-02-24 00:00:00,Dispatch Delivery
EV004666,2025-02-24 00:00:00,Receive Goods
EV003310,2025-02-24 00:00:00,Receive Goods
EV004668,2025-02-24 00:00:00,Receive Goods
EV004669,2025-02-24 08:00:00,Put Away
EV004667,2025-02-24 08:00:00,Put Away
EV003311,2025-02-24 08:00:00,Put Away
EV003012,2025-02-25 00:00:00,Receive Goods
EV002586,2025-02-25 00:00:00,Create Purchase Order
EV002587,2025-02-25 04:00:00,Approve Purchase Order
EV003013,2025-02-25 08:00:00,Put Away
EV000486,2025-02-26 00:00:00,Receive Goods
EV002588,2025-02-26 00:00:00,Add PO Item
EV000487,2025-02-26 08:00:00,Put Away
EV001398,2025-02-27 00:00:00,Create Purchase Order
EV005177,2025-02-27 00:00:00,Dispatch Delivery
EV003385,2025-02-27 00:00:00,Dispatch Delivery
EV001399,2025-02-27 04:00:00,Approve Purchase Order
EV003240,2025-02-28 00:00:00,Receive Goods
EV003236,2025-02-28 00:00:00,Receive Goods
EV003238,2025-02-28 00:00:00,Receive Goods
EV003111,2025-02-28 00:00:00,Create Purchase Order
EV001969,2025-02-28 00:00:00,Receive Goods
EV002015,2025-02-28 00:00:00,Receive Goods
EV001400,2025-02-28 00:00:00,Add PO Item
EV003112,2025-02-28 04:00:00,Approve Purchase Order
EV003237,2025-02-28 08:00:00,Put Away
EV003239,2025-02-28 08:00:00,Put Away
EV003241,2025-02-28 08:00:00,Put Away
EV001970,2025-02-28 08:00:00,Put Away
EV002016,2025-02-28 08:00:00,Put Away
EV003113,2025-03-01 00:00:00,Add PO Item
EV002589,2025-03-01 00:00:00,Dispatch Delivery
EV003243,2025-03-01 00:00:00,Receive Goods
EV003014,2025-03-01 00:00:00,Create Purchase Order
EV003245,2025-03-01 00:00:00,Receive Goods
EV003247,2025-03-01 00:00:00,Receive Goods
EV003015,2025-03-01 04:00:00,Approve Purchase Order
EV003248,2025-03-01 08:00:00,Put Away
EV003246,2025-03-01 08:00:00,Put Away
EV003244,2025-03-01 08:00:00,Put Away
EV000433,2025-03-02 00:00:00,Create Purchase Order
EV005178,2025-03-02 00:00:00,Receive Goods
EV003796,2025-03-02 00:00:00,Dispatch Delivery
EV003262,2025-03-02 00:00:00,Receive Goods
EV003313,2025-03-02 00:00:00,Receive Goods
EV003016,2025-03-02 00:00:00,Add PO Item
EV000434,2025-03-02 04:00:00,Approve Purchase Order
EV005179,2025-03-02 08:00:00,Put Away
EV003314,2025-03-02 08:00:00,Put Away
EV003263,2025-03-02 08:00:00,Put Away
EV003017,2025-03-03 00:00:00,Dispatch Delivery
EV004859,2025-03-03 00:00:00,Create Purchase Order
EV003388,2025-03-03 00:00:00,Dispatch Delivery
EV000436,2025-03-03 00:00:00,Add PO Item
EV001401,2025-03-03 00:00:00,Dispatch Delivery
EV001242,2025-03-03 00:00:00,Dispatch Delivery
EV000435,2025-03-03 00:00:00,Add PO Item
EV001239,2025-03-03 00:00:00,Dispatch Delivery
EV004860,2025-03-03 04:00:00,Approve Purchase Order
EV000259,2025-03-04 00:00:00,Create Purchase Order
EV003799,2025-03-04 00:00:00,Dispatch Delivery
EV001972,2025-03-04 00:00:00,Receive Goods
EV002759,2025-03-04 00:00:00,Receive Goods
EV004527,2025-03-04 00:00:00,Receive Goods
EV004863,2025-03-04 00:00:00,Add PO Item
EV004862,2025-03-04 00:00:00,Add PO Item
EV004861,2025-03-04 00:00:00,Add PO Item
EV004525,2025-03-04 00:00:00,Receive Goods
EV003114,2025-03-04 00:00:00,Dispatch Delivery
EV005180,2025-03-04 00:00:00,Dispatch Delivery
EV000260,2025-03-04 04:00:00,Approve Purchase Order
EV004528,2025-03-04 08:00:00,Put Away
EV004526,2025-03-04 08:00:00,Put Away
EV002760,2025-03-04 08:00:00,Put Away
EV001973,2025-03-04 08:00:00,Put Away
EV005183,2025-03-05 00:00:00,Dispatch Delivery
EV003609,2025-03-05 00:00:00,Create Purchase Order
EV000261,2025-03-05 00:00:00,Add PO Item
EV003610,2025-03-05 04:00:00,Approve Purchase Order
EV003644,2025-03-06 00:00:00,Create Purchase Order
EV000437,2025-03-06 00:00:00,Dispatch Delivery
EV003611,2025-03-06 00:00:00,Add PO Item
EV003645,2025-03-06 04:00:00,Approve Purchase Order
EV003646,2025-03-07 00:00:00,Add PO Item
EV003201,2025-03-07 00:00:00,Create Purchase Order
EV000210,2025-03-07 00:00:00,Create Purchase Order
EV004864,2025-03-07 00:00:00,Dispatch Delivery
EV003862,2025-03-07 00:00:00,Create Purchase Order
EV000211,2025-03-07 04:00:00,Approve Purchase Order
EV003202,2025-03-07 04:00:00,Approve Purchase Order
EV003863,2025-03-07 04:00:00,Approve Purchase Order
EV003864,2025-03-08 00:00:00,Add PO Item
EV002590,2025-03-08 00:00:00,Receive Goods
EV000212,2025-03-08 00:00:00,Add PO Item
EV001140,2025-03-08 00:00:00,Receive Goods
EV002762,2025-03-08 00:00:00,Receive Goods
EV003203,2025-03-08 00:00:00,Add PO Item
EV003204,2025-03-08 00:00:00,Add PO Item
EV003020,2025-03-08 00:00:00,Dispatch Delivery
EV002591,2025-03-08 08:00:00,Put Away
EV002763,2025-03-08 08:00:00,Put Away
EV001141,2025-03-08 08:00:00,Put Away
EV000213,2025-03-09 00:00:00,Dispatch Delivery
EV002018,2025-03-09 00:00:00,Receive Goods
EV001404,2025-03-09 00:00:00,Dispatch Delivery
EV003612,2025-03-09 00:00:00,Dispatch Delivery
EV002019,2025-03-09 08:00:00,Put Away
EV003348,2025-03-10 00:00:00,Receive Goods
EV003205,2025-03-10 00:00:00,Dispatch Delivery
EV000262,2025-03-10 00:00:00,Dispatch Delivery
EV004869,2025-03-10 00:00:00,Receive Goods
EV004867,2025-03-10 00:00:00,Receive Goods
EV004865,2025-03-10 00:00:00,Receive Goods
EV003350,2025-03-10 00:00:00,Receive Goods
