delivery_id,supplier_id,channel_id,dispatch_date,expected_arrival_date,actual_arrival_date,delay_days,transportation_cost
DEL000099,SUP009,CH002,2025-02-20,2025-03-20,2025-03-25,5,1683.94
DEL000100,SUP012,CH003,2025-11-09,2025-11-12,2025-11-12,0,1324.85
DEL000101,SUP012,CH003,2025-11-17,2025-11-20,2025-11-20,0,964.01
DEL000102,SUP013,CH002,2026-03-24,2026-04-21,2026-04-21,0,382.57
DEL000103,SUP013,CH002,2026-03-27,2026-04-24,2026-04-24,0,1751.7
DEL000104,SUP007,CH005,2025-09-13,2025-09-20,2025-09-20,0,398.19
DEL000105,SUP010,CH004,2025-12-11,2025-12-29,2025-12-29,0,1764.67
DEL000106,SUP010,CH004,2025-12-15,2026-01-02,2026-01-02,0,335.71
DEL000107,SUP010,CH004,2025-12-17,2026-01-04,2026-01-04,0,1516.13
DEL000108,SUP011,CH004,2025-12-31,2026-01-18,2026-01-18,0,1341.21
DEL000109,SUP011,CH004,2026-01-02,2026-01-20,2026-01-20,0,1383.09
DEL000110,SUP011,CH003,2025-07-01,2025-07-04,2025-07-04,0,1283.66
DEL000111,SUP011,CH003,2025-07-03,2025-07-06,2025-07-06,0,1274.58
DEL000112,SUP007,CH003,2025-05-02,2025-05-05,2025-05-05,0,1144.51
DEL000113,SUP007,CH003,2025-05-01,2025-05-04,2025-05-04,0,500.15
DEL000114,SUP007,CH003,2025-05-06,2025-05-09,2025-05-09,0,1348.22
DEL000115,SUP002,CH005,2025-07-13,2025-07-20,2025-07-20,0,1321.41
DEL000116,SUP002,CH005,2025-07-20,2025-07-27,2025-07-27,0,995.07
DEL000117,SUP012,CH004,2025-06-07,2025-06-25,2025-06-25,0,749.27
DEL000118,SUP006,CH004,2025-07-28,2025-08-15,2025-08-15,0,1635.19
DEL000119,SUP006,CH004,2025-08-01,2025-08-19,2025-08-19,0,1654.5
DEL000120,SUP006,CH004,2025-08-07,2025-08-25,2025-08-25,0,1245.5
DEL000121,SUP003,CH002,2025-12-08,2026-01-05,2026-01-05,0,1098.38
DEL000122,SUP003,CH002,2025-12-10,2026-01-07,2026-01-07,0,1791.52
DEL000123,SUP003,CH004,2025-07-20,2025-08-07,2025-08-07,0,1099.47
DEL000124,SUP003,CH004,2025-07-27,2025-08-14,2025-08-14,0,1728.56
DEL000125,SUP003,CH004,2025-08-01,2025-08-19,2025-08-27,8,1735.64
DEL000126,SUP002,CH004,2025-12-01,2025-12-19,2025-12-19,0,1025.74
DEL000127,SUP002,CH004,2025-12-05,2025-12-23,2025-12-23,0,815.21
DEL000128,SUP012,CH003,2025-01-25,2025-01-28,2025-01-31,3,1580.42
DEL000129,SUP012,CH003,2025-01-29,2025-02-01,2025-02-01,0,1448.93
DEL000130,SUP011,CH003,2025-06-04,2025-06-07,2025-06-07,0,1293.21
DEL000131,SUP014,CH002,2025-04-24,2025-05-22,2025-05-22,0,1338.49
DEL000132,SUP006,CH005,2025-01-24,2025-01-31,2025-02-14,14,501.32
DEL000133,SUP014,CH003,2026-01-06,2026-01-09,2026-01-09,0,1144.31
DEL000134,SUP014,CH003,2026-01-11,2026-01-14,2026-01-14,0,1190.59
DEL000135,SUP006,CH004,2025-01-06,2025-01-24,2025-01-24,0,927.13
DEL000136,SUP006,CH004,2025-01-10,2025-01-28,2025-01-28,0,778.46
DEL000137,SUP006,CH004,2025-01-13,2025-01-31,2025-01-31,0,1161.17
DEL000138,SUP013,CH002,2025-05-30,2025-06-27,2025-07-01,4,754.37
DEL000139,SUP013,CH002,2025-06-03,2025-07-01,2025-07-01,0,1332.95
DEL000140,SUP001,CH002,2025-03-18,2025-04-15,2025-04-15,0,401.64
DEL000141,SUP002,CH005,2026-02-12,2026-02-19,2026-03-06,15,1788.94
DEL000142,SUP013,CH002,2025-01-10,2025-02-07,2025-02-07,0,1194.87
DEL000143,SUP011,CH003,2026-02-03,2026-02-06,2026-02-06,0,1537.99
DEL000144,SUP012,CH004,2025-05-20,2025-06-07,2025-06-07,0,1177.23
DEL000145,SUP012,CH004,2025-05-24,2025-06-11,2025-06-11,0,1284.19
DEL000146,SUP007,CH001,2025-09-04,2025-09-14,2025-09-14,0,1023.33
DEL000147,SUP007,CH001,2025-09-03,2025-09-13,2025-09-13,0,852.74
DEL000148,SUP007,CH001,2025-09-11,2025-09-21,2025-09-21,0,832.01
DEL000149,SUP013,CH002,2025-03-17,2025-04-14,2025-04-14,0,1574.37
DEL000150,SUP007,CH001,2026-03-25,2026-04-04,2026-04-04,0,806.48
DEL000151,SUP007,CH001,2026-03-25,2026-04-04,2026-04-04,0,1452.74
DEL000152,SUP007,CH001,2026-04-02,2026-04-12,2026-04-12,0,1646.36
DEL000153,SUP009,CH001,2025-11-15,2025-11-25,2025-11-25,0,803.43
DEL000154,SUP004,CH001,2025-01-16,2025-01-26,2025-01-26,0,1129.58
DEL000155,SUP004,CH001,2025-01-18,2025-01-28,2025-01-28,0,1696.61
DEL000156,SUP004,CH001,2025-01-21,2025-01-31,2025-01-31,0,830.57
DEL000157,SUP014,CH002,2025-04-02,2025-04-30,2025-04-30,0,1609.66
DEL000158,SUP014,CH002,2025-04-05,2025-05-03,2025-05-03,0,949.47
DEL000159,SUP014,CH002,2025-04-09,2025-05-07,2025-05-07,0,992.81
DEL000160,SUP005,CH001,2026-03-11,2026-03-21,2026-03-21,0,1642.63
DEL000161,SUP006,CH001,2025-12-16,2025-12-26,2025-12-26,0,687.15
DEL000162,SUP006,CH001,2025-12-17,2025-12-27,2025-12-27,0,1553.28
DEL000163,SUP006,CH001,2025-12-23,2026-01-02,2026-01-02,0,605.21
DEL000164,SUP004,CH002,2025-09-05,2025-10-03,2025-10-03,0,847.77
DEL000165,SUP004,CH002,2025-09-08,2025-10-06,2025-10-06,0,393.05
DEL000166,SUP004,CH002,2025-09-13,2025-10-11,2025-10-11,0,1554.37
DEL000167,SUP001,CH001,2025-10-09,2025-10-19,2025-11-02,14,1562.14
DEL000168,SUP004,CH005,2025-11-22,2025-11-29,2025-11-29,0,458.01
DEL000169,SUP004,CH005,2025-11-23,2025-11-30,2025-11-30,0,1443.77
DEL000170,SUP003,CH005,2025-06-02,2025-06-09,2025-06-09,0,410.81
DEL000171,SUP003,CH005,2025-06-04,2025-06-11,2025-06-11,0,1725.13
DEL000172,SUP014,CH001,2026-03-07,2026-03-17,2026-03-23,6,390.33
DEL000173,SUP014,CH001,2026-03-11,2026-03-21,2026-03-21,0,944.02
DEL000174,SUP008,CH003,2025-06-01,2025-06-04,2025-06-04,0,1386.58
DEL000175,SUP008,CH003,2025-06-05,2025-06-08,2025-06-21,13,746.22
DEL000176,SUP006,CH004,2026-02-24,2026-03-14,2026-03-14,0,1469.82
DEL000177,SUP006,CH004,2026-02-28,2026-03-18,2026-03-18,0,900.78
DEL000178,SUP001,CH002,2025-05-13,2025-06-10,2025-06-16,6,933.22
DEL000179,SUP001,CH002,2025-05-20,2025-06-17,2025-06-17,0,1674.96
DEL000180,SUP001,CH002,2025-05-23,2025-06-20,2025-06-20,0,1255.92
DEL000181,SUP003,CH001,2025-10-31,2025-11-10,2025-11-25,15,1627.98
DEL000182,SUP003,CH001,2025-11-01,2025-11-11,2025-11-11,0,683.97
DEL000183,SUP003,CH001,2025-11-05,2025-11-15,2025-11-15,0,1351.65
DEL000184,SUP008,CH002,2025-07-04,2025-08-01,2025-08-01,0,853.05
DEL000185,SUP008,CH002,2025-07-10,2025-08-07,2025-08-20,13,1267.98
DEL000186,SUP008,CH002,2025-07-11,2025-08-08,2025-08-08,0,231.63
DEL000187,SUP002,CH003,2026-02-11,2026-02-14,2026-02-28,14,406.98
DEL000188,SUP002,CH003,2026-02-14,2026-02-17,2026-02-23,6,1279.58
DEL000189,SUP002,CH003,2026-02-15,2026-02-18,2026-03-05,15,1322.23
DEL000190,SUP011,CH004,2025-09-04,2025-09-22,2025-09-22,0,1761.81
DEL000191,SUP011,CH004,2025-09-10,2025-09-28,2025-09-28,0,237.16
DEL000192,SUP012,CH004,2025-09-04,2025-09-22,2025-09-22,0,1566.38
DEL000193,SUP012,CH004,2025-09-11,2025-09-29,2025-09-29,0,1211.52
DEL000194,SUP011,CH001,2025-09-10,2025-09-20,2025-09-20,0,1765.13
DEL000195,SUP006,CH004,2026-02-22,2026-03-12,2026-03-12,0,584.36
DEL000196,SUP006,CH004,2026-02-28,2026-03-18,2026-03-18,0,612.49
DEL000197,SUP006,CH004,2026-03-04,2026-03-22,2026-03-22,0,1505.69
DEL000198,SUP008,CH004,2025-07-06,2025-07-24,2025-07-24,0,1542.68
DEL000199,SUP008,CH001,2025-06-03,2025-06-13,2025-06-13,0,508.15
DEL000200,SUP008,CH001,2025-06-09,2025-06-19,2025-06-19,0,1191.47
DEL000201,SUP008,CH001,2025-06-12,2025-06-22,2025-07-07,15,420.8
DEL000202,SUP005,CH003,2025-09-27,2025-09-30,2025-10-12,12,482.17
DEL000203,SUP013,CH004,2026-01-13,2026-01-31,2026-01-31,0,1787.27
DEL000204,SUP013,CH004,2026-01-20,2026-02-07,2026-02-07,0,352.32
DEL000205,SUP008,CH004,2025-11-07,2025-11-25,2025-11-25,0,765.34
DEL000206,SUP008,CH004,2025-11-10,2025-11-28,2025-11-28,0,866.67
DEL000207,SUP003,CH002,2025-07-01,2025-07-29,2025-07-29,0,430.25
DEL000208,SUP012,CH003,2025-09-19,2025-09-22,2025-10-01,9,200.83
DEL000209,SUP010,CH004,2025-01-28,2025-02-15,2025-02-15,0,468.8
DEL000210,SUP010,CH004,2025-02-02,2025-02-20,2025-02-20,0,1517.0
DEL000211,SUP010,CH004,2025-02-05,2025-02-23,2025-03-08,13,831.17
DEL000212,SUP003,CH001,2025-09-08,2025-09-18,2025-09-18,0,943.49
DEL000213,SUP008,CH005,2025-05-26,2025-06-02,2025-06-02,0,337.57
DEL000214,SUP008,CH005,2025-05-26,2025-06-02,2025-06-02,0,837.61
DEL000215,SUP002,CH005,2025-03-23,2025-03-30,2025-03-30,0,1600.13
DEL000216,SUP007,CH005,2025-07-24,2025-07-31,2025-07-31,0,1081.45
DEL000217,SUP007,CH005,2025-07-31,2025-08-07,2025-08-22,15,977.91
DEL000218,SUP011,CH001,2025-09-30,2025-10-10,2025-10-10,0,816.59
DEL000219,SUP011,CH001,2025-10-08,2025-10-18,2025-10-18,0,703.6
DEL000220,SUP004,CH004,2025-07-24,2025-08-11,2025-08-11,0,1631.22
DEL000221,SUP004,CH004,2025-08-01,2025-08-19,2025-08-19,0,951.93
DEL000222,SUP013,CH004,2025-03-22,2025-04-09,2025-04-09,0,358.65
DEL000223,SUP013,CH004,2025-03-29,2025-04-16,2025-04-16,0,1576.45
DEL000224,SUP007,CH002,2025-03-30,2025-04-27,2025-04-27,0,1621.38
DEL000225,SUP007,CH002,2025-04-01,2025-04-29,2025-05-02,3,1191.31
DEL000226,SUP011,CH004,2025-02-23,2025-03-13,2025-03-13,0,1794.68
DEL000227,SUP011,CH004,2025-03-03,2025-03-21,2025-03-21,0,718.3
DEL000228,SUP011,CH004,2025-03-03,2025-03-21,2025-03-21,0,472.55
DEL000229,SUP010,CH003,2025-09-20,2025-09-23,2025-09-23,0,836.04
DEL000230,SUP010,CH003,2025-09-28,2025-10-01,2025-10-12,11,509.13
DEL000231,SUP015,CH004,2025-05-31,2025-06-18,2025-06-18,0,1692.45
DEL000232,SUP015,CH004,2025-06-03,2025-06-21,2025-06-21,0,938.91
DEL000233,SUP002,CH001,2025-05-16,2025-05-26,2025-05-26,0,351.42
DEL000234,SUP002,CH001,2025-05-21,2025-05-31,2025-05-31,0,543.26
DEL000235,SUP002,CH001,2025-05-26,2025-06-05,2025-06-05,0,611.88
DEL000236,SUP003,CH004,2025-08-31,2025-09-18,2025-09-29,11,827.98
DEL000237,SUP008,CH005,2026-03-07,2026-03-14,2026-03-14,0,1100.27
DEL000238,SUP008,CH005,2026-03-08,2026-03-15,2026-03-15,0,1563.43
DEL000239,SUP013,CH003,2025-04-24,2025-04-27,2025-04-27,0,1606.02
DEL000240,SUP013,CH003,2025-04-29,2025-05-02,2025-05-02,0,456.94
DEL000241,SUP001,CH002,2025-09-15,2025-10-13,2025-10-13,0,1741.73
DEL000242,SUP001,CH002,2025-09-21,2025-10-19,2025-11-03,15,1605.04
DEL000243,SUP004,CH001,2025-09-30,2025-10-10,2025-10-10,0,1771.43
DEL000244,SUP006,CH003,2025-08-07,2025-08-10,2025-08-18,8,1471.6
DEL000245,SUP006,CH003,2025-08-11,2025-08-14,2025-08-14,0,1598.93
DEL000246,SUP005,CH002,2025-05-12,2025-06-09,2025-06-09,0,1269.33
DEL000247,SUP005,CH002,2025-05-18,2025-06-15,2025-06-15,0,264.15
DEL000248,SUP013,CH003,2025-09-21,2025-09-24,2025-10-03,9,354.9
DEL000249,SUP013,CH003,2025-09-27,2025-09-30,2025-09-30,0,1494.35
DEL000250,SUP007,CH001,2025-07-10,2025-07-20,2025-07-20,0,257.44
DEL000251,SUP007,CH001,2025-07-14,2025-07-24,2025-07-24,0,264.64
DEL000252,SUP007,CH001,2025-07-19,2025-07-29,2025-08-12,14,1697.4
DEL000253,SUP013,CH004,2025-12-15,2026-01-02,2026-01-02,0,1107.92
DEL000254,SUP013,CH004,2025-12-18,2026-01-05,2026-01-10,5,697.05
DEL000255,SUP013,CH004,2025-12-24,2026-01-11,2026-01-11,0,350.86
DEL000256,SUP001,CH002,2025-11-06,2025-12-04,2025-12-04,0,1547.45
DEL000257,SUP001,CH002,2025-11-09,2025-12-07,2025-12-07,0,1073.08
DEL000258,SUP014,CH001,2025-03-03,2025-03-13,2025-03-13,0,930.25
DEL000259,SUP014,CH001,2025-03-09,2025-03-19,2025-03-19,0,826.41
DEL000260,SUP014,CH001,2025-03-13,2025-03-23,2025-03-23,0,913.72
DEL000261,SUP007,CH005,2025-02-07,2025-02-14,2025-02-14,0,1761.18
DEL000262,SUP007,CH005,2025-02-10,2025-02-17,2025-02-17,0,1697.88
DEL000263,SUP008,CH003,2026-01-30,2026-02-02,2026-02-02,0,1659.92
DEL000264,SUP007,CH002,2025-04-03,2025-05-01,2025-05-01,0,1582.62
DEL000265,SUP007,CH002,2025-04-08,2025-05-06,2025-05-06,0,344.93
DEL000266,SUP010,CH004,2025-08-05,2025-08-23,2025-08-23,0,1064.76
DEL000267,SUP010,CH004,2025-08-10,2025-08-28,2025-08-28,0,1276.57
DEL000268,SUP010,CH004,2025-08-12,2025-08-30,2025-08-30,0,1355.05
DEL000269,SUP005,CH002,2026-02-16,2026-03-16,2026-03-16,0,898.67
DEL000270,SUP007,CH001,2025-08-29,2025-09-08,2025-09-16,8,1148.73
DEL000271,SUP007,CH001,2025-09-01,2025-09-11,2025-09-22,11,1770.22
DEL000272,SUP004,CH001,2025-01-10,2025-01-20,2025-01-20,0,1237.09
DEL000273,SUP004,CH001,2025-01-19,2025-01-29,2025-01-29,0,1569.97
DEL000274,SUP004,CH001,2025-01-20,2025-01-30,2025-01-30,0,1260.05
DEL000275,SUP009,CH004,2025-12-21,2026-01-08,2026-01-08,0,935.54
DEL000276,SUP009,CH004,2025-12-26,2026-01-13,2026-01-13,0,517.73
DEL000277,SUP006,CH004,2025-06-20,2025-07-08,2025-07-08,0,516.27
DEL000278,SUP012,CH002,2026-03-13,2026-04-10,2026-04-10,0,772.29
DEL000279,SUP001,CH003,2025-12-24,2025-12-27,2026-01-03,7,1080.38
DEL000280,SUP005,CH001,2026-01-11,2026-01-21,2026-01-21,0,1512.89
DEL000281,SUP005,CH001,2026-01-19,2026-01-29,2026-01-29,0,947.98
DEL000282,SUP005,CH001,2026-01-24,2026-02-03,2026-02-03,0,636.49
DEL000283,SUP006,CH004,2025-12-08,2025-12-26,2025-12-26,0,1688.01
DEL000284,SUP006,CH004,2025-12-11,2025-12-29,2025-12-29,0,1181.63
DEL000285,SUP006,CH004,2025-12-20,2026-01-07,2026-01-07,0,937.49
DEL000286,SUP013,CH005,2025-12-13,2025-12-20,2025-12-20,0,1109.07
DEL000287,SUP013,CH005,2025-12-18,2025-12-25,2025-12-25,0,560.28
DEL000288,SUP013,CH001,2026-01-18,2026-01-28,2026-01-28,0,702.96
DEL000289,SUP013,CH001,2026-01-23,2026-02-02,2026-02-02,0,1170.08
DEL000290,SUP013,CH001,2026-01-24,2026-02-03,2026-02-03,0,674.08
DEL000291,SUP008,CH004,2025-06-10,2025-06-28,2025-06-28,0,1534.59
DEL000292,SUP006,CH005,2026-03-07,2026-03-14,2026-03-14,0,1661.26
DEL000293,SUP010,CH002,2026-01-05,2026-02-02,2026-02-02,0,1743.23
DEL000294,SUP010,CH002,2026-01-08,2026-02-05,2026-02-05,0,892.02
DEL000295,SUP010,CH002,2026-01-15,2026-02-12,2026-02-12,0,805.31
DEL000296,SUP015,CH003,2025-12-23,2025-12-26,2025-12-31,5,1030.26
DEL000297,SUP015,CH003,2025-12-23,2025-12-26,2025-12-26,0,1395.32
DEL000298,SUP009,CH004,2025-03-16,2025-04-03,2025-04-03,0,1578.9
DEL000299,SUP009,CH004,2025-03-22,2025-04-09,2025-04-09,0,858.95
DEL000300,SUP007,CH004,2025-11-14,2025-12-02,2025-12-02,0,356.46
DEL000301,SUP007,CH004,2025-11-17,2025-12-05,2025-12-05,0,496.6
DEL000302,SUP007,CH004,2025-11-18,2025-12-06,2025-12-06,0,1652.17
DEL000303,SUP001,CH004,2025-05-14,2025-06-01,2025-06-07,6,1710.08
DEL000304,SUP001,CH004,2025-05-17,2025-06-04,2025-06-04,0,838.71
DEL000305,SUP014,CH005,2025-05-02,2025-05-09,2025-05-09,0,1667.83
DEL000306,SUP014,CH005,2025-05-03,2025-05-10,2025-05-10,0,280.86
DEL000307,SUP013,CH005,2026-01-19,2026-01-26,2026-01-26,0,1701.62
DEL000308,SUP013,CH005,2026-01-23,2026-01-30,2026-01-30,0,1391.63
DEL000309,SUP003,CH002,2026-02-03,2026-03-03,2026-03-03,0,1004.6
DEL000310,SUP003,CH002,2026-02-05,2026-03-05,2026-03-05,0,832.16
DEL000311,SUP003,CH002,2026-02-14,2026-03-14,2026-03-14,0,1378.44
DEL000312,SUP009,CH005,2026-02-19,2026-02-26,2026-02-26,0,1354.94
DEL000313,SUP009,CH005,2026-02-25,2026-03-04,2026-03-04,0,763.28
DEL000314,SUP004,CH001,2025-06-11,2025-06-21,2025-06-21,0,1600.86
DEL000315,SUP015,CH002,2025-02-20,2025-03-20,2025-03-20,0,682.11
DEL000316,SUP015,CH002,2025-02-20,2025-03-20,2025-03-20,0,1253.57
DEL000317,SUP008,CH003,2025-06-06,2025-06-09,2025-06-09,0,288.34
DEL000318,SUP014,CH002,2025-07-27,2025-08-24,2025-08-24,0,281.41
DEL000319,SUP014,CH002,2025-08-01,2025-08-29,2025-08-29,0,1393.71
DEL000320,SUP014,CH002,2025-08-03,2025-08-31,2025-08-31,0,1050.07
DEL000321,SUP005,CH001,2025-07-06,2025-07-16,2025-07-16,0,1336.03
DEL000322,SUP005,CH001,2025-07-12,2025-07-22,2025-07-22,0,961.81
DEL000323,SUP015,CH002,2025-12-03,2025-12-31,2025-12-31,0,759.3
DEL000324,SUP015,CH002,2025-12-12,2026-01-09,2026-01-15,6,1644.63
DEL000325,SUP015,CH001,2026-03-17,2026-03-27,2026-03-27,0,392.18
DEL000326,SUP009,CH003,2025-04-08,2025-04-11,2025-04-11,0,1128.38
