batch_id,delivery_item_id,po_item_id,product_id,supplier_id,warehouse_id,received_date,quantity_received,purchase_unit_price,quantity_remaining
BAT0000085,DELI0000085,POI000045,PROD042,SUP012,WH001,2025-06-23,64,107.7,64
BAT0000086,DELI0000086,POI000044,PROD002,SUP012,WH003,2025-06-28,30,56.88,30
BAT0000087,DELI0000087,POI000045,PROD042,SUP012,WH002,2025-06-28,39,107.7,39
BAT0000088,DELI0000088,POI000046,PROD017,SUP006,WH002,2025-06-13,59,77.38,59
BAT0000089,DELI0000089,POI000047,PROD024,SUP006,WH001,2025-06-13,58,101.78,58
BAT0000090,DELI0000090,POI000046,PROD017,SUP006,WH003,2025-06-20,19,77.38,19
BAT0000091,DELI0000091,POI000047,PROD024,SUP006,WH005,2025-06-20,38,101.78,38
BAT0000092,DELI0000092,POI000046,PROD017,SUP006,WH004,2025-07-07,16,77.38,16
BAT0000093,DELI0000093,POI000047,PROD024,SUP006,WH005,2025-07-07,76,101.78,76
BAT0000094,DELI0000094,POI000048,PROD036,SUP014,WH002,2025-08-30,97,28.04,97
BAT0000095,DELI0000095,POI000049,PROD048,SUP014,WH002,2025-08-30,26,42.36,26
BAT0000096,DELI0000096,POI000048,PROD036,SUP014,WH002,2025-08-31,50,28.04,50
BAT0000097,DELI0000097,POI000049,PROD048,SUP014,WH002,2025-08-31,10,42.36,10
BAT0000098,DELI0000098,POI000048,PROD036,SUP014,WH004,2025-08-31,32,28.04,32
BAT0000099,DELI0000099,POI000049,PROD048,SUP014,WH001,2025-08-31,6,42.36,6
BAT0000100,DELI0000100,POI000050,PROD003,SUP013,WH003,2026-01-16,47,100.03,47
BAT0000101,DELI0000101,POI000051,PROD025,SUP013,WH004,2026-01-16,60,97.17,60
BAT0000102,DELI0000102,POI000052,PROD020,SUP009,WH002,2025-12-18,186,75.49,186
BAT0000103,DELI0000103,POI000053,PROD037,SUP009,WH003,2025-12-18,172,21.97,172
BAT0000104,DELI0000104,POI000054,PROD029,SUP005,WH001,2025-08-28,150,23.47,150
BAT0000105,DELI0000105,POI000055,PROD032,SUP013,WH001,2025-07-18,49,129.86,49
BAT0000106,DELI0000106,POI000056,PROD036,SUP013,WH004,2025-07-18,61,31.46,61
BAT0000107,DELI0000107,POI000055,PROD032,SUP013,WH002,2025-07-24,24,129.86,24
BAT0000108,DELI0000108,POI000056,PROD036,SUP013,WH002,2025-07-24,85,31.46,85
BAT0000109,DELI0000109,POI000057,PROD046,SUP007,WH003,2025-05-11,72,93.19,72
BAT0000110,DELI0000110,POI000057,PROD046,SUP007,WH003,2025-05-17,137,93.19,137
BAT0000111,DELI0000111,POI000058,PROD034,SUP013,WH002,2025-03-13,181,51.81,0
BAT0000112,DELI0000112,POI000059,PROD032,SUP013,WH001,2025-03-13,149,116.63,0
BAT0000113,DELI0000113,POI000060,PROD005,SUP008,WH002,2025-10-28,25,18.62,25
BAT0000114,DELI0000114,POI000061,PROD048,SUP008,WH004,2025-10-28,70,38.88,70
BAT0000115,DELI0000115,POI000060,PROD005,SUP008,WH003,2025-11-04,21,18.62,21
BAT0000116,DELI0000116,POI000061,PROD048,SUP008,WH003,2025-11-04,55,38.88,55
BAT0000117,DELI0000117,POI000062,PROD035,SUP007,WH003,2025-06-17,58,63.33,58
BAT0000118,DELI0000118,POI000063,PROD045,SUP007,WH003,2025-06-17,68,103.49,68
BAT0000119,DELI0000119,POI000062,PROD035,SUP007,WH005,2025-06-21,59,63.33,59
BAT0000120,DELI0000120,POI000063,PROD045,SUP007,WH004,2025-06-21,66,103.49,66
BAT0000121,DELI0000121,POI000064,PROD039,SUP002,WH005,2025-09-21,128,31.51,128
BAT0000122,DELI0000122,POI000065,PROD021,SUP006,WH001,2025-02-14,63,88.69,0
BAT0000123,DELI0000123,POI000065,PROD021,SUP006,WH001,2025-02-21,19,88.69,0
BAT0000124,DELI0000124,POI000065,PROD021,SUP006,WH003,2025-02-26,18,88.69,0
BAT0000125,DELI0000125,POI000066,PROD031,SUP009,WH005,2025-08-20,99,98.21,99
BAT0000126,DELI0000126,POI000066,PROD031,SUP009,WH003,2025-09-08,120,98.21,120
BAT0000127,DELI0000127,POI000067,PROD024,SUP006,WH001,2025-12-17,24,102.97,24
BAT0000128,DELI0000128,POI000068,PROD014,SUP006,WH005,2025-12-17,55,111.95,55
BAT0000129,DELI0000129,POI000067,PROD024,SUP006,WH004,2025-12-19,27,102.97,27
BAT0000130,DELI0000130,POI000068,PROD014,SUP006,WH003,2025-12-19,28,111.95,28
BAT0000131,DELI0000131,POI000067,PROD024,SUP006,WH003,2025-12-31,18,102.97,18
BAT0000132,DELI0000132,POI000068,PROD014,SUP006,WH004,2025-12-31,32,111.95,32
BAT0000133,DELI0000133,POI000069,PROD025,SUP001,WH005,2025-05-11,25,83.76,0
BAT0000134,DELI0000134,POI000069,PROD025,SUP001,WH001,2025-05-27,23,83.76,23
BAT0000135,DELI0000135,POI000070,PROD043,SUP008,WH005,2026-01-23,68,90.74,68
BAT0000136,DELI0000136,POI000070,PROD043,SUP008,WH002,2026-01-27,86,90.74,86
BAT0000137,DELI0000137,POI000071,PROD035,SUP005,WH001,2025-09-11,86,66.07,86
BAT0000138,DELI0000138,POI000071,PROD035,SUP005,WH004,2025-09-16,25,66.07,25
BAT0000139,DELI0000139,POI000071,PROD035,SUP005,WH001,2025-09-20,24,66.07,24
BAT0000140,DELI0000140,POI000072,PROD020,SUP009,WH005,2025-03-25,110,77.79,110
BAT0000141,DELI0000141,POI000073,PROD043,SUP012,WH002,2025-11-12,52,89.86,52
BAT0000142,DELI0000142,POI000073,PROD043,SUP012,WH003,2025-11-20,43,89.86,43
BAT0000143,DELI0000143,POI000074,PROD036,SUP013,WH001,2026-04-21,93,31.09,93
BAT0000144,DELI0000144,POI000075,PROD032,SUP013,WH003,2026-04-21,96,129.47,96
BAT0000145,DELI0000145,POI000074,PROD036,SUP013,WH005,2026-04-24,64,31.09,64
BAT0000146,DELI0000146,POI000075,PROD032,SUP013,WH003,2026-04-24,106,129.47,106
BAT0000147,DELI0000147,POI000076,PROD029,SUP007,WH001,2025-09-20,67,26.97,67
BAT0000148,DELI0000148,POI000077,PROD015,SUP010,WH003,2025-12-29,60,58.69,60
BAT0000149,DELI0000149,POI000077,PROD015,SUP010,WH005,2026-01-02,37,58.69,37
BAT0000150,DELI0000150,POI000077,PROD015,SUP010,WH003,2026-01-04,34,58.69,34
BAT0000151,DELI0000151,POI000078,PROD019,SUP011,WH004,2026-01-18,29,93.62,29
BAT0000152,DELI0000152,POI000078,PROD019,SUP011,WH003,2026-01-20,20,93.62,20
BAT0000153,DELI0000153,POI000079,PROD012,SUP011,WH003,2025-07-04,14,108.1,14
BAT0000154,DELI0000154,POI000080,PROD030,SUP011,WH005,2025-07-04,26,92.24,0
BAT0000155,DELI0000155,POI000079,PROD012,SUP011,WH002,2025-07-06,34,108.1,34
BAT0000156,DELI0000156,POI000080,PROD030,SUP011,WH002,2025-07-06,32,92.24,0
BAT0000157,DELI0000157,POI000081,PROD046,SUP007,WH004,2025-05-05,88,97.11,88
BAT0000158,DELI0000158,POI000081,PROD046,SUP007,WH002,2025-05-04,35,97.11,15
BAT0000159,DELI0000159,POI000081,PROD046,SUP007,WH005,2025-05-09,70,97.11,70
BAT0000160,DELI0000160,POI000082,PROD033,SUP002,WH003,2025-07-20,117,43.57,117
BAT0000161,DELI0000161,POI000083,PROD005,SUP002,WH004,2025-07-20,81,17.57,81
BAT0000162,DELI0000162,POI000082,PROD033,SUP002,WH005,2025-07-27,102,43.57,102
BAT0000163,DELI0000163,POI000083,PROD005,SUP002,WH001,2025-07-27,98,17.57,98
BAT0000164,DELI0000164,POI000084,PROD020,SUP012,WH003,2025-06-25,105,73.51,105
BAT0000165,DELI0000165,POI000085,PROD042,SUP012,WH002,2025-06-25,103,93.52,103
BAT0000166,DELI0000166,POI000086,PROD047,SUP006,WH005,2025-08-15,78,55.02,78
BAT0000167,DELI0000167,POI000086,PROD047,SUP006,WH005,2025-08-19,61,55.02,61
BAT0000168,DELI0000168,POI000086,PROD047,SUP006,WH003,2025-08-25,60,55.02,60
BAT0000169,DELI0000169,POI000087,PROD015,SUP003,WH004,2026-01-05,119,56.77,119
BAT0000170,DELI0000170,POI000088,PROD028,SUP003,WH004,2026-01-05,50,12.28,50
BAT0000171,DELI0000171,POI000087,PROD015,SUP003,WH002,2026-01-07,74,56.77,74
BAT0000172,DELI0000172,POI000088,PROD028,SUP003,WH005,2026-01-07,33,12.28,33
BAT0000173,DELI0000173,POI000089,PROD015,SUP003,WH002,2025-08-07,29,63.46,29
BAT0000174,DELI0000174,POI000089,PROD015,SUP003,WH001,2025-08-14,28,63.46,28
BAT0000175,DELI0000175,POI000089,PROD015,SUP003,WH003,2025-08-27,29,63.46,29
BAT0000176,DELI0000176,POI000090,PROD033,SUP002,WH005,2025-12-19,19,43.12,19
BAT0000177,DELI0000177,POI000090,PROD033,SUP002,WH003,2025-12-23,28,43.12,28
BAT0000178,DELI0000178,POI000091,PROD002,SUP012,WH002,2025-01-31,60,54.94,12
BAT0000179,DELI0000179,POI000092,PROD008,SUP012,WH003,2025-01-31,83,94.16,0
BAT0000180,DELI0000180,POI000093,PROD043,SUP012,WH002,2025-01-31,63,86.72,0
BAT0000181,DELI0000181,POI000091,PROD002,SUP012,WH002,2025-02-01,141,54.94,141
BAT0000182,DELI0000182,POI000092,PROD008,SUP012,WH002,2025-02-01,82,94.16,44
BAT0000183,DELI0000183,POI000093,PROD043,SUP012,WH001,2025-02-01,65,86.72,6
BAT0000184,DELI0000184,POI000094,PROD017,SUP011,WH002,2025-06-07,135,69.02,135
BAT0000185,DELI0000185,POI000095,PROD048,SUP014,WH005,2025-05-22,173,44.56,173
BAT0000186,DELI0000186,POI000096,PROD014,SUP006,WH004,2025-02-14,148,94.91,98
BAT0000187,DELI0000187,POI000097,PROD048,SUP014,WH005,2026-01-09,37,42.06,37
BAT0000188,DELI0000188,POI000097,PROD048,SUP014,WH002,2026-01-14,22,42.06,22
BAT0000189,DELI0000189,POI000098,PROD002,SUP006,WH004,2025-01-24,108,62.36,0
BAT0000190,DELI0000190,POI000098,PROD002,SUP006,WH004,2025-01-28,58,62.36,0
BAT0000191,DELI0000191,POI000098,PROD002,SUP006,WH004,2025-01-31,35,62.36,35
BAT0000192,DELI0000192,POI000099,PROD004,SUP013,WH002,2025-07-01,40,84.69,40
BAT0000193,DELI0000193,POI000099,PROD004,SUP013,WH001,2025-07-01,92,84.69,92
BAT0000194,DELI0000194,POI000100,PROD040,SUP001,WH004,2025-04-15,188,73.06,188
BAT0000195,DELI0000195,POI000101,PROD046,SUP002,WH002,2026-03-06,160,93.67,160
BAT0000196,DELI0000196,POI000102,PROD039,SUP002,WH005,2026-03-06,164,34.13,164
BAT0000197,DELI0000197,POI000103,PROD039,SUP013,WH001,2025-02-07,109,36.73,0
BAT0000198,DELI0000198,POI000104,PROD007,SUP011,WH002,2026-02-06,169,96.88,169
BAT0000199,DELI0000199,POI000105,PROD016,SUP012,WH004,2025-06-07,25,32.32,25
BAT0000200,DELI0000200,POI000105,PROD016,SUP012,WH002,2025-06-11,24,32.32,24
BAT0000201,DELI0000201,POI000106,PROD038,SUP007,WH005,2025-09-14,43,65.67,43
BAT0000202,DELI0000202,POI000106,PROD038,SUP007,WH005,2025-09-13,33,65.67,33
BAT0000203,DELI0000203,POI000106,PROD038,SUP007,WH005,2025-09-21,66,65.67,66
BAT0000204,DELI0000204,POI000107,PROD032,SUP013,WH004,2025-04-14,66,129.43,66
BAT0000205,DELI0000205,POI000108,PROD041,SUP007,WH005,2026-04-04,39,57.76,39
BAT0000206,DELI0000206,POI000108,PROD041,SUP007,WH004,2026-04-04,20,57.76,20
BAT0000207,DELI0000207,POI000108,PROD041,SUP007,WH005,2026-04-12,19,57.76,19
BAT0000208,DELI0000208,POI000109,PROD044,SUP009,WH002,2025-11-25,183,40.41,183
BAT0000209,DELI0000209,POI000110,PROD041,SUP009,WH004,2025-11-25,40,60.87,40
BAT0000210,DELI0000210,POI000111,PROD014,SUP004,WH003,2025-01-26,95,100.04,0
BAT0000211,DELI0000211,POI000111,PROD014,SUP004,WH002,2025-01-28,54,100.04,0
BAT0000212,DELI0000212,POI000111,PROD014,SUP004,WH003,2025-01-31,58,100.04,0
BAT0000213,DELI0000213,POI000112,PROD036,SUP014,WH004,2025-04-30,40,30.88,40
BAT0000214,DELI0000214,POI000113,PROD040,SUP014,WH002,2025-04-30,26,82.02,26
BAT0000215,DELI0000215,POI000114,PROD006,SUP014,WH003,2025-04-30,16,113.6,0
BAT0000216,DELI0000216,POI000112,PROD036,SUP014,WH004,2025-05-03,23,30.88,23
BAT0000217,DELI0000217,POI000113,PROD040,SUP014,WH001,2025-05-03,13,82.02,13
BAT0000218,DELI0000218,POI000114,PROD006,SUP014,WH003,2025-05-03,13,113.6,0
BAT0000219,DELI0000219,POI000112,PROD036,SUP014,WH002,2025-05-07,36,30.88,36
BAT0000220,DELI0000220,POI000113,PROD040,SUP014,WH003,2025-05-07,30,82.02,30
BAT0000221,DELI0000221,POI000114,PROD006,SUP014,WH003,2025-05-07,15,113.6,0
BAT0000222,DELI0000222,POI000115,PROD002,SUP005,WH005,2026-03-21,82,55.95,82
BAT0000223,DELI0000223,POI000116,PROD005,SUP006,WH002,2025-12-26,78,20.6,78
BAT0000224,DELI0000224,POI000116,PROD005,SUP006,WH002,2025-12-27,39,20.6,39
BAT0000225,DELI0000225,POI000116,PROD005,SUP006,WH002,2026-01-02,33,20.6,33
BAT0000226,DELI0000226,POI000117,PROD011,SUP004,WH002,2025-10-03,35,51.35,35
BAT0000227,DELI0000227,POI000118,PROD010,SUP004,WH002,2025-10-03,117,62.36,117
BAT0000228,DELI0000228,POI000117,PROD011,SUP004,WH001,2025-10-06,15,51.35,15
BAT0000229,DELI0000229,POI000118,PROD010,SUP004,WH004,2025-10-06,25,62.36,25
BAT0000230,DELI0000230,POI000117,PROD011,SUP004,WH004,2025-10-11,9,51.35,9
BAT0000231,DELI0000231,POI000118,PROD010,SUP004,WH003,2025-10-11,51,62.36,51
BAT0000232,DELI0000232,POI000119,PROD023,SUP001,WH004,2025-11-02,114,102.71,114
BAT0000233,DELI0000233,POI000120,PROD017,SUP004,WH001,2025-11-29,117,71.94,117
BAT0000234,DELI0000234,POI000120,PROD017,SUP004,WH002,2025-11-30,57,71.94,57
BAT0000235,DELI0000235,POI000121,PROD028,SUP003,WH004,2025-06-09,44,13.25,44
BAT0000236,DELI0000236,POI000121,PROD028,SUP003,WH005,2025-06-11,84,13.25,84
BAT0000237,DELI0000237,POI000122,PROD038,SUP014,WH001,2026-03-23,71,58.92,71
BAT0000238,DELI0000238,POI000122,PROD038,SUP014,WH005,2026-03-21,36,58.92,36
BAT0000239,DELI0000239,POI000123,PROD019,SUP008,WH004,2025-06-04,65,96.41,65
BAT0000240,DELI0000240,POI000123,PROD019,SUP008,WH001,2025-06-21,70,96.41,70
BAT0000241,DELI0000241,POI000124,PROD021,SUP006,WH003,2026-03-14,79,100.24,79
BAT0000242,DELI0000242,POI000124,PROD021,SUP006,WH004,2026-03-18,128,100.24,128
BAT0000243,DELI0000243,POI000125,PROD034,SUP001,WH005,2025-06-16,14,43.55,14
BAT0000244,DELI0000244,POI000126,PROD025,SUP001,WH005,2025-06-16,50,83.76,50
BAT0000245,DELI0000245,POI000125,PROD034,SUP001,WH005,2025-06-17,11,43.55,11
BAT0000246,DELI0000246,POI000126,PROD025,SUP001,WH002,2025-06-17,52,83.76,52
BAT0000247,DELI0000247,POI000125,PROD034,SUP001,WH004,2025-06-20,15,43.55,15
BAT0000248,DELI0000248,POI000126,PROD025,SUP001,WH002,2025-06-20,37,83.76,37
BAT0000249,DELI0000249,POI000127,PROD015,SUP003,WH004,2025-11-25,74,64.0,74
BAT0000250,DELI0000250,POI000128,PROD039,SUP003,WH004,2025-11-25,93,31.92,93
BAT0000251,DELI0000251,POI000129,PROD008,SUP003,WH001,2025-11-25,51,101.38,51
BAT0000252,DELI0000252,POI000127,PROD015,SUP003,WH004,2025-11-11,34,64.0,34
BAT0000253,DELI0000253,POI000128,PROD039,SUP003,WH003,2025-11-11,18,31.92,18
BAT0000254,DELI0000254,POI000129,PROD008,SUP003,WH004,2025-11-11,29,101.38,29
BAT0000255,DELI0000255,POI000127,PROD015,SUP003,WH002,2025-11-15,17,64.0,17
BAT0000256,DELI0000256,POI000128,PROD039,SUP003,WH004,2025-11-15,23,31.92,23
BAT0000257,DELI0000257,POI000129,PROD008,SUP003,WH002,2025-11-15,21,101.38,21
BAT0000258,DELI0000258,POI000130,PROD037,SUP008,WH005,2025-08-01,80,22.64,80
BAT0000259,DELI0000259,POI000130,PROD037,SUP008,WH001,2025-08-20,50,22.64,50
BAT0000260,DELI0000260,POI000130,PROD037,SUP008,WH004,2025-08-08,40,22.64,40
BAT0000261,DELI0000261,POI000131,PROD033,SUP002,WH005,2026-02-28,30,47.85,30
BAT0000262,DELI0000262,POI000131,PROD033,SUP002,WH001,2026-02-23,29,47.85,29
BAT0000263,DELI0000263,POI000131,PROD033,SUP002,WH001,2026-03-05,16,47.85,16
BAT0000264,DELI0000264,POI000132,PROD007,SUP011,WH004,2025-09-22,66,90.55,66
BAT0000265,DELI0000265,POI000132,PROD007,SUP011,WH002,2025-09-28,78,90.55,78
BAT0000266,DELI0000266,POI000133,PROD020,SUP012,WH002,2025-09-22,84,82.06,84
BAT0000267,DELI0000267,POI000133,PROD020,SUP012,WH001,2025-09-29,113,82.06,113
BAT0000268,DELI0000268,POI000134,PROD012,SUP011,WH004,2025-09-20,185,123.26,185
BAT0000269,DELI0000269,POI000135,PROD007,SUP006,WH002,2026-03-12,122,100.01,122
BAT0000270,DELI0000270,POI000135,PROD007,SUP006,WH004,2026-03-18,51,100.01,51
BAT0000271,DELI0000271,POI000135,PROD007,SUP006,WH003,2026-03-22,46,100.01,46
BAT0000272,DELI0000272,POI000136,PROD029,SUP008,WH004,2025-07-24,142,23.3,142
BAT0000273,DELI0000273,POI000137,PROD029,SUP008,WH004,2025-06-13,59,23.84,59
BAT0000274,DELI0000274,POI000137,PROD029,SUP008,WH003,2025-06-19,71,23.84,71
BAT0000275,DELI0000275,POI000137,PROD029,SUP008,WH001,2025-07-07,35,23.84,35
BAT0000276,DELI0000276,POI000138,PROD002,SUP005,WH001,2025-10-12,88,62.69,88
BAT0000277,DELI0000277,POI000139,PROD046,SUP013,WH005,2026-01-31,91,100.11,91
BAT0000278,DELI0000278,POI000139,PROD046,SUP013,WH001,2026-02-07,40,100.11,40
BAT0000279,DELI0000279,POI000140,PROD019,SUP008,WH002,2025-11-25,132,99.05,132
BAT0000280,DELI0000280,POI000141,PROD010,SUP008,WH001,2025-11-25,58,58.73,58
BAT0000281,DELI0000281,POI000140,PROD019,SUP008,WH001,2025-11-28,83,99.05,83
BAT0000282,DELI0000282,POI000141,PROD010,SUP008,WH001,2025-11-28,35,58.73,35
BAT0000283,DELI0000283,POI000142,PROD039,SUP003,WH002,2025-07-29,174,36.09,174
BAT0000284,DELI0000284,POI000143,PROD002,SUP012,WH005,2025-10-01,57,54.33,57
BAT0000285,DELI0000285,POI000144,PROD019,SUP010,WH002,2025-02-15,69,93.34,14
BAT0000286,DELI0000286,POI000144,PROD019,SUP010,WH002,2025-02-20,63,93.34,63
BAT0000287,DELI0000287,POI000144,PROD019,SUP010,WH004,2025-03-08,61,93.34,61
BAT0000288,DELI0000288,POI000145,PROD047,SUP003,WH001,2025-09-18,86,55.02,86
BAT0000289,DELI0000289,POI000146,PROD037,SUP008,WH002,2025-06-02,29,21.69,29
