delivery_item_id,delivery_id,po_item_id,product_id,quantity
DELI0000074,DEL000054,POI000039,PROD021,20
DELI0000075,DEL000055,POI000039,PROD021,32
DELI0000076,DEL000056,POI000040,PROD043,87
DELI0000077,DEL000057,POI000040,PROD043,54
DELI0000078,DEL000058,POI000041,PROD015,181
DELI0000079,DEL000059,POI000042,PROD040,72
DELI0000080,DEL000060,POI000042,PROD040,99
DELI0000081,DEL000061,POI000043,PROD045,118
DELI0000082,DEL000062,POI000044,PROD002,69
DELI0000083,DEL000062,POI000045,PROD042,54
DELI0000084,DEL000063,POI000044,PROD002,27
DELI0000085,DEL000063,POI000045,PROD042,64
DELI0000086,DEL000064,POI000044,PROD002,30
DELI0000087,DEL000064,POI000045,PROD042,39
DELI0000088,DEL000065,POI000046,PROD017,59
DELI0000089,DEL000065,POI000047,PROD024,58
DELI0000090,DEL000066,POI000046,PROD017,19
DELI0000091,DEL000066,POI000047,PROD024,38
DELI0000092,DEL000067,POI000046,PROD017,16
DELI0000093,DEL000067,POI000047,PROD024,76
DELI0000094,DEL000068,POI000048,PROD036,97
DELI0000095,DEL000068,POI000049,PROD048,26
DELI0000096,DEL000069,POI000048,PROD036,50
DELI0000097,DEL000069,POI000049,PROD048,10
DELI0000098,DEL000070,POI000048,PROD036,32
DELI0000099,DEL000070,POI000049,PROD048,6
DELI0000100,DEL000071,POI000050,PROD003,47
DELI0000101,DEL000071,POI000051,PROD025,60
DELI0000102,DEL000072,POI000052,PROD020,186
DELI0000103,DEL000072,POI000053,PROD037,172
DELI0000104,DEL000073,POI000054,PROD029,150
DELI0000105,DEL000074,POI000055,PROD032,49
DELI0000106,DEL000074,POI000056,PROD036,61
DELI0000107,DEL000075,POI000055,PROD032,24
DELI0000108,DEL000075,POI000056,PROD036,85
DELI0000109,DEL000076,POI000057,PROD046,72
DELI0000110,DEL000077,POI000057,PROD046,137
DELI0000111,DEL000078,POI000058,PROD034,181
DELI0000112,DEL000078,POI000059,PROD032,149
DELI0000113,DEL000079,POI000060,PROD005,25
DELI0000114,DEL000079,POI000061,PROD048,70
DELI0000115,DEL000080,POI000060,PROD005,21
DELI0000116,DEL000080,POI000061,PROD048,55
DELI0000117,DEL000081,POI000062,PROD035,58
DELI0000118,DEL000081,POI000063,PROD045,68
DELI0000119,DEL000082,POI000062,PROD035,59
DELI0000120,DEL000082,POI000063,PROD045,66
DELI0000121,DEL000083,POI000064,PROD039,128
DELI0000122,DEL000084,POI000065,PROD021,63
DELI0000123,DEL000085,POI000065,PROD021,19
DELI0000124,DEL000086,POI000065,PROD021,18
DELI0000125,DEL000087,POI000066,PROD031,99
DELI0000126,DEL000088,POI000066,PROD031,120
DELI0000127,DEL000089,POI000067,PROD024,24
DELI0000128,DEL000089,POI000068,PROD014,55
DELI0000129,DEL000090,POI000067,PROD024,27
DELI0000130,DEL000090,POI000068,PROD014,28
DELI0000131,DEL000091,POI000067,PROD024,18
DELI0000132,DEL000091,POI000068,PROD014,32
DELI0000133,DEL000092,POI000069,PROD025,25
DELI0000134,DEL000093,POI000069,PROD025,23
DELI0000135,DEL000094,POI000070,PROD043,68
DELI0000136,DEL000095,POI000070,PROD043,86
DELI0000137,DEL000096,POI000071,PROD035,86
DELI0000138,DEL000097,POI000071,PROD035,25
DELI0000139,DEL000098,POI000071,PROD035,24
DELI0000140,DEL000099,POI000072,PROD020,110
DELI0000141,DEL000100,POI000073,PROD043,52
DELI0000142,DEL000101,POI000073,PROD043,43
DELI0000143,DEL000102,POI000074,PROD036,93
DELI0000144,DEL000102,POI000075,PROD032,96
DELI0000145,DEL000103,POI000074,PROD036,64
DELI0000146,DEL000103,POI000075,PROD032,106
DELI0000147,DEL000104,POI000076,PROD029,67
DELI0000148,DEL000105,POI000077,PROD015,60
DELI0000149,DEL000106,POI000077,PROD015,37
DELI0000150,DEL000107,POI000077,PROD015,34
DELI0000151,DEL000108,POI000078,PROD019,29
DELI0000152,DEL000109,POI000078,PROD019,20
DELI0000153,DEL000110,POI000079,PROD012,14
DELI0000154,DEL000110,POI000080,PROD030,26
DELI0000155,DEL000111,POI000079,PROD012,34
DELI0000156,DEL000111,POI000080,PROD030,32
DELI0000157,DEL000112,POI000081,PROD046,88
DELI0000158,DEL000113,POI000081,PROD046,35
DELI0000159,DEL000114,POI000081,PROD046,70
DELI0000160,DEL000115,POI000082,PROD033,117
DELI0000161,DEL000115,POI000083,PROD005,81
DELI0000162,DEL000116,POI000082,PROD033,102
DELI0000163,DEL000116,POI000083,PROD005,98
DELI0000164,DEL000117,POI000084,PROD020,105
DELI0000165,DEL000117,POI000085,PROD042,103
DELI0000166,DEL000118,POI000086,PROD047,78
DELI0000167,DEL000119,POI000086,PROD047,61
DELI0000168,DEL000120,POI000086,PROD047,60
DELI0000169,DEL000121,POI000087,PROD015,119
DELI0000170,DEL000121,POI000088,PROD028,50
DELI0000171,DEL000122,POI000087,PROD015,74
DELI0000172,DEL000122,POI000088,PROD028,33
DELI0000173,DEL000123,POI000089,PROD015,29
DELI0000174,DEL000124,POI000089,PROD015,28
DELI0000175,DEL000125,POI000089,PROD015,29
DELI0000176,DEL000126,POI000090,PROD033,19
DELI0000177,DEL000127,POI000090,PROD033,28
DELI0000178,DEL000128,POI000091,PROD002,60
DELI0000179,DEL000128,POI000092,PROD008,83
DELI0000180,DEL000128,POI000093,PROD043,63
DELI0000181,DEL000129,POI000091,PROD002,141
DELI0000182,DEL000129,POI000092,PROD008,82
DELI0000183,DEL000129,POI000093,PROD043,65
DELI0000184,DEL000130,POI000094,PROD017,135
DELI0000185,DEL000131,POI000095,PROD048,173
DELI0000186,DEL000132,POI000096,PROD014,148
DELI0000187,DEL000133,POI000097,PROD048,37
DELI0000188,DEL000134,POI000097,PROD048,22
DELI0000189,DEL000135,POI000098,PROD002,108
DELI0000190,DEL000136,POI000098,PROD002,58
DELI0000191,DEL000137,POI000098,PROD002,35
DELI0000192,DEL000138,POI000099,PROD004,40
DELI0000193,DEL000139,POI000099,PROD004,92
DELI0000194,DEL000140,POI000100,PROD040,188
DELI0000195,DEL000141,POI000101,PROD046,160
DELI0000196,DEL000141,POI000102,PROD039,164
DELI0000197,DEL000142,POI000103,PROD039,109
DELI0000198,DEL000143,POI000104,PROD007,169
DELI0000199,DEL000144,POI000105,PROD016,25
DELI0000200,DEL000145,POI000105,PROD016,24
DELI0000201,DEL000146,POI000106,PROD038,43
DELI0000202,DEL000147,POI000106,PROD038,33
DELI0000203,DEL000148,POI000106,PROD038,66
DELI0000204,DEL000149,POI000107,PROD032,66
DELI0000205,DEL000150,POI000108,PROD041,39
DELI0000206,DEL000151,POI000108,PROD041,20
DELI0000207,DEL000152,POI000108,PROD041,19
DELI0000208,DEL000153,POI000109,PROD044,183
DELI0000209,DEL000153,POI000110,PROD041,40
DELI0000210,DEL000154,POI000111,PROD014,95
DELI0000211,DEL000155,POI000111,PROD014,54
DELI0000212,DEL000156,POI000111,PROD014,58
DELI0000213,DEL000157,POI000112,PROD036,40
DELI0000214,DEL000157,POI000113,PROD040,26
DELI0000215,DEL000157,POI000114,PROD006,16
DELI0000216,DEL000158,POI000112,PROD036,23
DELI0000217,DEL000158,POI000113,PROD040,13
DELI0000218,DEL000158,POI000114,PROD006,13
DELI0000219,DEL000159,POI000112,PROD036,36
DELI0000220,DEL000159,POI000113,PROD040,30
DELI0000221,DEL000159,POI000114,PROD006,15
DELI0000222,DEL000160,POI000115,PROD002,82
DELI0000223,DEL000161,POI000116,PROD005,78
DELI0000224,DEL000162,POI000116,PROD005,39
DELI0000225,DEL000163,POI000116,PROD005,33
DELI0000226,DEL000164,POI000117,PROD011,35
DELI0000227,DEL000164,POI000118,PROD010,117
DELI0000228,DEL000165,POI000117,PROD011,15
DELI0000229,DEL000165,POI000118,PROD010,25
DELI0000230,DEL000166,POI000117,PROD011,9
DELI0000231,DEL000166,POI000118,PROD010,51
DELI0000232,DEL000167,POI000119,PROD023,114
DELI0000233,DEL000168,POI000120,PROD017,117
DELI0000234,DEL000169,POI000120,PROD017,57
DELI0000235,DEL000170,POI000121,PROD028,44
DELI0000236,DEL000171,POI000121,PROD028,84
DELI0000237,DEL000172,POI000122,PROD038,71
DELI0000238,DEL000173,POI000122,PROD038,36
DELI0000239,DEL000174,POI000123,PROD019,65
DELI0000240,DEL000175,POI000123,PROD019,70
DELI0000241,DEL000176,POI000124,PROD021,79
DELI0000242,DEL000177,POI000124,PROD021,128
DELI0000243,DEL000178,POI000125,PROD034,14
DELI0000244,DEL000178,POI000126,PROD025,50
DELI0000245,DEL000179,POI000125,PROD034,11
DELI0000246,DEL000179,POI000126,PROD025,52
DELI0000247,DEL000180,POI000125,PROD034,15
DELI0000248,DEL000180,POI000126,PROD025,37
DELI0000249,DEL000181,POI000127,PROD015,74
DELI0000250,DEL000181,POI000128,PROD039,93
DELI0000251,DEL000181,POI000129,PROD008,51
DELI0000252,DEL000182,POI000127,PROD015,34
DELI0000253,DEL000182,POI000128,PROD039,18
DELI0000254,DEL000182,POI000129,PROD008,29
DELI0000255,DEL000183,POI000127,PROD015,17
DELI0000256,DEL000183,POI000128,PROD039,23
DELI0000257,DEL000183,POI000129,PROD008,21
DELI0000258,DEL000184,POI000130,PROD037,80
DELI0000259,DEL000185,POI000130,PROD037,50
DELI0000260,DEL000186,POI000130,PROD037,40
DELI0000261,DEL000187,POI000131,PROD033,30
DELI0000262,DEL000188,POI000131,PROD033,29
DELI0000263,DEL000189,POI000131,PROD033,16
DELI0000264,DEL000190,POI000132,PROD007,66
DELI0000265,DEL000191,POI000132,PROD007,78
DELI0000266,DEL000192,POI000133,PROD020,84
DELI0000267,DEL000193,POI000133,PROD020,113
DELI0000268,DEL000194,POI000134,PROD012,185
DELI0000269,DEL000195,POI000135,PROD007,122
DELI0000270,DEL000196,POI000135,PROD007,51
DELI0000271,DEL000197,POI000135,PROD007,46
DELI0000272,DEL000198,POI000136,PROD029,142
DELI0000273,DEL000199,POI000137,PROD029,59
DELI0000274,DEL000200,POI000137,PROD029,71
DELI0000275,DEL000201,POI000137,PROD029,35
DELI0000276,DEL000202,POI000138,PROD002,88
DELI0000277,DEL000203,POI000139,PROD046,91
DELI0000278,DEL000204,POI000139,PROD046,40
DELI0000279,DEL000205,POI000140,PROD019,132
DELI0000280,DEL000205,POI000141,PROD010,58
DELI0000281,DEL000206,POI000140,PROD019,83
DELI0000282,DEL000206,POI000141,PROD010,35
DELI0000283,DEL000207,POI000142,PROD039,174
DELI0000284,DEL000208,POI000143,PROD002,57
DELI0000285,DEL000209,POI000144,PROD019,69
DELI0000286,DEL000210,POI000144,PROD019,63
DELI0000287,DEL000211,POI000144,PROD019,61
DELI0000288,DEL000212,POI000145,PROD047,86
DELI0000289,DEL000213,POI000146,PROD037,29
DELI0000290,DEL000214,POI000146,PROD037,50
DELI0000291,DEL000215,POI000147,PROD003,193
DELI0000292,DEL000216,POI000148,PROD027,133
DELI0000293,DEL000216,POI000149,PROD045,115
DELI0000294,DEL000216,POI000150,PROD044,38
DELI0000295,DEL000217,POI000148,PROD027,79
DELI0000296,DEL000217,POI000149,PROD045,82
DELI0000297,DEL000217,POI000150,PROD044,87
DELI0000298,DEL000218,POI000151,PROD017,37
DELI0000299,DEL000219,POI000151,PROD017,54
DELI0000300,DEL000220,POI000152,PROD014,89
DELI0000301,DEL000221,POI000152,PROD014,72
DELI0000302,DEL000222,POI000153,PROD036,73
DELI0000303,DEL000222,POI000154,PROD048,97
DELI0000304,DEL000222,POI000155,PROD032,46
DELI0000305,DEL000223,POI000153,PROD036,118
DELI0000306,DEL000223,POI000154,PROD048,111
DELI0000307,DEL000223,POI000155,PROD032,79
DELI0000308,DEL000224,POI000156,PROD044,69
DELI0000309,DEL000224,POI000157,PROD027,45
DELI0000310,DEL000225,POI000156,PROD044,35
DELI0000311,DEL000225,POI000157,PROD027,89
DELI0000312,DEL000226,POI000158,PROD026,23
DELI0000313,DEL000227,POI000158,PROD026,35
DELI0000314,DEL000228,POI000158,PROD026,17
DELI0000315,DEL000229,POI000159,PROD042,52
DELI0000316,DEL000230,POI000159,PROD042,46
DELI0000317,DEL000231,POI000160,PROD021,83
DELI0000318,DEL000231,POI000161,PROD022,84
DELI0000319,DEL000231,POI000162,PROD020,76
DELI0000320,DEL000232,POI000160,PROD021,100
DELI0000321,DEL000232,POI000161,PROD022,111
DELI0000322,DEL000232,POI000162,PROD020,84
DELI0000323,DEL000233,POI000163,PROD003,50
DELI0000324,DEL000234,POI000163,PROD003,46
DELI0000325,DEL000235,POI000163,PROD003,43
DELI0000326,DEL000236,POI000164,PROD047,206
DELI0000327,DEL000237,POI000165,PROD005,63
DELI0000328,DEL000238,POI000165,PROD005,142
DELI0000329,DEL000239,POI000166,PROD028,55
DELI0000330,DEL000240,POI000166,PROD028,68
DELI0000331,DEL000241,POI000167,PROD034,42
DELI0000332,DEL000242,POI000167,PROD034,24
DELI0000333,DEL000243,POI000168,PROD017,61
DELI0000334,DEL000244,POI000169,PROD024,128
DELI0000335,DEL000245,POI000169,PROD024,75
DELI0000336,DEL000246,POI000170,PROD032,94
DELI0000337,DEL000247,POI000170,PROD032,115
DELI0000338,DEL000248,POI000171,PROD031,90
DELI0000339,DEL000249,POI000171,PROD031,44
DELI0000340,DEL000250,POI000172,PROD035,27
DELI0000341,DEL000250,POI000173,PROD001,152
DELI0000342,DEL000251,POI000172,PROD035,15
DELI0000343,DEL000251,POI000173,PROD001,27
DELI0000344,DEL000252,POI000172,PROD035,12
DELI0000345,DEL000252,POI000173,PROD001,39
DELI0000346,DEL000253,POI000174,PROD039,27
DELI0000347,DEL000253,POI000175,PROD024,19
DELI0000348,DEL000254,POI000174,PROD039,12
DELI0000349,DEL000254,POI000175,PROD024,8
DELI0000350,DEL000255,POI000174,PROD039,22
DELI0000351,DEL000255,POI000175,PROD024,13
DELI0000352,DEL000256,POI000176,PROD025,113
DELI0000353,DEL000257,POI000176,PROD025,54
DELI0000354,DEL000258,POI000177,PROD009,96
DELI0000355,DEL000259,POI000177,PROD009,39
DELI0000356,DEL000260,POI000177,PROD009,78
DELI0000357,DEL000261,POI000178,PROD008,73
DELI0000358,DEL000262,POI000178,PROD008,117
DELI0000359,DEL000263,POI000179,PROD010,82
DELI0000360,DEL000263,POI000180,PROD005,103
DELI0000361,DEL000264,POI000181,PROD027,107
DELI0000362,DEL000265,POI000181,PROD027,51
DELI0000363,DEL000266,POI000182,PROD015,44
DELI0000364,DEL000267,POI000182,PROD015,35
DELI0000365,DEL000268,POI000182,PROD015,39
DELI0000366,DEL000269,POI000183,PROD035,208
DELI0000367,DEL000269,POI000184,PROD002,187
DELI0000368,DEL000270,POI000185,PROD041,22
DELI0000369,DEL000271,POI000185,PROD041,35
DELI0000370,DEL000272,POI000186,PROD016,123
DELI0000371,DEL000273,POI000186,PROD016,43
DELI0000372,DEL000274,POI000186,PROD016,35
DELI0000373,DEL000275,POI000187,PROD020,81
DELI0000374,DEL000275,POI000188,PROD041,87
DELI0000375,DEL000276,POI000187,PROD020,131
DELI0000376,DEL000276,POI000188,PROD041,60
DELI0000377,DEL000277,POI000189,PROD024,174
DELI0000378,DEL000277,POI000190,PROD047,171
DELI0000379,DEL000278,POI000191,PROD008,99
DELI0000380,DEL000278,POI000192,PROD002,135
DELI0000381,DEL000279,POI000193,PROD032,66
DELI0000382,DEL000279,POI000194,PROD040,110
DELI0000383,DEL000280,POI000195,PROD029,20
DELI0000384,DEL000280,POI000196,PROD003,36
DELI0000385,DEL000281,POI000195,PROD029,14
DELI0000386,DEL000281,POI000196,PROD003,18
DELI0000387,DEL000282,POI000195,PROD029,18
DELI0000388,DEL000282,POI000196,PROD003,29
DELI0000389,DEL000283,POI000197,PROD005,20
DELI0000390,DEL000283,POI000198,PROD017,65
DELI0000391,DEL000284,POI000197,PROD005,14
DELI0000392,DEL000284,POI000198,PROD017,35
DELI0000393,DEL000285,POI000197,PROD005,8
DELI0000394,DEL000285,POI000198,PROD017,18
DELI0000395,DEL000286,POI000199,PROD034,21
DELI0000396,DEL000287,POI000199,PROD034,21
DELI0000397,DEL000288,POI000200,PROD036,23
DELI0000398,DEL000289,POI000200,PROD036,19
DELI0000399,DEL000290,POI000200,PROD036,10
DELI0000400,DEL000291,POI000201,PROD043,80
DELI0000401,DEL000292,POI000202,PROD017,160
DELI0000402,DEL000293,POI000203,PROD019,37
DELI0000403,DEL000294,POI000203,PROD019,22
DELI0000404,DEL000295,POI000203,PROD019,34
DELI0000405,DEL000296,POI000204,PROD022,119
DELI0000406,DEL000296,POI000205,PROD021,26
DELI0000407,DEL000297,POI000204,PROD022,72
DELI0000408,DEL000297,POI000205,PROD021,52
DELI0000409,DEL000298,POI000206,PROD026,40
DELI0000410,DEL000299,POI000206,PROD026,33
DELI0000411,DEL000300,POI000207,PROD008,40
DELI0000412,DEL000301,POI000207,PROD008,20
DELI0000413,DEL000302,POI000207,PROD008,23
DELI0000414,DEL000303,POI000208,PROD040,70
DELI0000415,DEL000303,POI000209,PROD042,33
DELI0000416,DEL000304,POI000208,PROD040,84
DELI0000417,DEL000304,POI000209,PROD042,54
DELI0000418,DEL000305,POI000210,PROD014,44
DELI0000419,DEL000306,POI000210,PROD014,25
DELI0000420,DEL000307,POI000211,PROD012,81
DELI0000421,DEL000307,POI000212,PROD038,45
DELI0000422,DEL000308,POI000211,PROD012,56
DELI0000423,DEL000308,POI000212,PROD038,50
DELI0000424,DEL000309,POI000213,PROD047,34
DELI0000425,DEL000310,POI000213,PROD047,21
DELI0000426,DEL000311,POI000213,PROD047,14
DELI0000427,DEL000312,POI000214,PROD037,56
DELI0000428,DEL000313,POI000214,PROD037,29
DELI0000429,DEL000314,POI000215,PROD011,125
DELI0000430,DEL000315,POI000216,PROD022,110
DELI0000431,DEL000316,POI000216,PROD022,71
DELI0000432,DEL000317,POI000217,PROD021,210
DELI0000433,DEL000317,POI000218,PROD041,44
DELI0000434,DEL000318,POI000219,PROD036,116
DELI0000435,DEL000319,POI000219,PROD036,51
DELI0000436,DEL000320,POI000219,PROD036,28
DELI0000437,DEL000321,POI000220,PROD023,46
DELI0000438,DEL000322,POI000220,PROD023,38
DELI0000439,DEL000323,POI000221,PROD028,27
DELI0000440,DEL000324,POI000221,PROD028,24
DELI0000441,DEL000325,POI000222,PROD015,188
DELI0000442,DEL000326,POI000223,PROD007,31
DELI0000443,DEL000327,POI000223,PROD007,11
DELI0000444,DEL000328,POI000223,PROD007,9
DELI0000445,DEL000329,POI000224,PROD032,44
DELI0000446,DEL000329,POI000225,PROD046,53
DELI0000447,DEL000330,POI000224,PROD032,15
DELI0000448,DEL000330,POI000225,PROD046,30
DELI0000449,DEL000331,POI000224,PROD032,11
DELI0000450,DEL000331,POI000225,PROD046,41
DELI0000451,DEL000332,POI000226,PROD001,93
DELI0000452,DEL000333,POI000227,PROD009,152
DELI0000453,DEL000334,POI000228,PROD018,120
DELI0000454,DEL000334,POI000229,PROD036,118
DELI0000455,DEL000335,POI000230,PROD012,82
DELI0000456,DEL000336,POI000230,PROD012,41
DELI0000457,DEL000337,POI000231,PROD037,85
DELI0000458,DEL000338,POI000231,PROD037,87
DELI0000459,DEL000339,POI000232,PROD025,116
DELI0000460,DEL000340,POI000233,PROD019,167
DELI0000461,DEL000341,POI000234,PROD016,75
DELI0000462,DEL000341,POI000235,PROD024,98
DELI0000463,DEL000342,POI000236,PROD002,70
DELI0000464,DEL000343,POI000236,PROD002,106
DELI0000465,DEL000344,POI000237,PROD032,37
DELI0000466,DEL000344,POI000238,PROD028,56
DELI0000467,DEL000345,POI000237,PROD032,22
DELI0000468,DEL000345,POI000238,PROD028,78
DELI0000469,DEL000346,POI000239,PROD039,72
DELI0000470,DEL000347,POI000239,PROD039,43
DELI0000471,DEL000348,POI000239,PROD039,29
DELI0000472,DEL000349,POI000240,PROD016,41
DELI0000473,DEL000350,POI000240,PROD016,52
DELI0000474,DEL000351,POI000240,PROD016,42
DELI0000475,DEL000352,POI000241,PROD006,28
DELI0000476,DEL000352,POI000242,PROD008,17
DELI0000477,DEL000352,POI000243,PROD038,24
DELI0000478,DEL000353,POI000241,PROD006,5
DELI0000479,DEL000353,POI000242,PROD008,23
DELI0000480,DEL000353,POI000243,PROD038,25
DELI0000481,DEL000354,POI000241,PROD006,10
DELI0000482,DEL000354,POI000242,PROD008,18
DELI0000483,DEL000354,POI000243,PROD038,18
DELI0000484,DEL000355,POI000244,PROD045,41
DELI0000485,DEL000356,POI000244,PROD045,29
DELI0000486,DEL000357,POI000244,PROD045,24
DELI0000487,DEL000358,POI000245,PROD022,48
DELI0000488,DEL000359,POI000246,PROD034,95
DELI0000489,DEL000360,POI000246,PROD034,48
DELI0000490,DEL000361,POI000247,PROD021,91
DELI0000491,DEL000362,POI000247,PROD021,26
DELI0000492,DEL000363,POI000247,PROD021,16
DELI0000493,DEL000364,POI000248,PROD011,130
DELI0000494,DEL000365,POI000249,PROD009,62
DELI0000495,DEL000366,POI000249,PROD009,108
DELI0000496,DEL000367,POI000250,PROD047,115
DELI0000497,DEL000367,POI000251,PROD023,84
DELI0000498,DEL000368,POI000250,PROD047,20
DELI0000499,DEL000368,POI000251,PROD023,42
DELI0000500,DEL000369,POI000250,PROD047,37
DELI0000501,DEL000369,POI000251,PROD023,84
DELI0000502,DEL000370,POI000252,PROD004,111
DELI0000503,DEL000371,POI000252,PROD004,35
DELI0000504,DEL000372,POI000252,PROD004,29
DELI0000505,DEL000373,POI000253,PROD030,88
DELI0000506,DEL000374,POI000254,PROD048,73
DELI0000507,DEL000375,POI000254,PROD048,91
DELI0000508,DEL000376,POI000255,PROD020,65
DELI0000509,DEL000377,POI000255,PROD020,26
DELI0000510,DEL000378,POI000255,PROD020,31
DELI0000511,DEL000379,POI000256,PROD036,30
DELI0000512,DEL000379,POI000257,PROD016,26
DELI0000513,DEL000380,POI000256,PROD036,5
DELI0000514,DEL000380,POI000257,PROD016,25
DELI0000515,DEL000381,POI000256,PROD036,9
DELI0000516,DEL000381,POI000257,PROD016,33
DELI0000517,DEL000382,POI000258,PROD009,98
DELI0000518,DEL000383,POI000259,PROD035,105
DELI0000519,DEL000384,POI000259,PROD035,52
DELI0000520,DEL000385,POI000259,PROD035,53
DELI0000521,DEL000386,POI000260,PROD038,60
DELI0000522,DEL000387,POI000260,PROD038,135
DELI0000523,DEL000388,POI000261,PROD009,78
DELI0000524,DEL000389,POI000261,PROD009,83
DELI0000525,DEL000390,POI000262,PROD015,18
DELI0000526,DEL000391,POI000262,PROD015,18
DELI0000527,DEL000392,POI000262,PROD015,11
DELI0000528,DEL000393,POI000263,PROD015,60
DELI0000529,DEL000394,POI000263,PROD015,69
DELI0000530,DEL000395,POI000263,PROD015,34
DELI0000531,DEL000396,POI000264,PROD035,40
DELI0000532,DEL000397,POI000264,PROD035,49
DELI0000533,DEL000398,POI000265,PROD045,80
DELI0000534,DEL000399,POI000266,PROD021,207
DELI0000535,DEL000400,POI000267,PROD008,42
DELI0000536,DEL000401,POI000267,PROD008,10
DELI0000537,DEL000402,POI000267,PROD008,9
DELI0000538,DEL000403,POI000268,PROD005,63
DELI0000539,DEL000404,POI000268,PROD005,32
DELI0000540,DEL000405,POI000268,PROD005,38
DELI0000541,DEL000406,POI000269,PROD044,176
DELI0000542,DEL000407,POI000270,PROD016,122
DELI0000543,DEL000408,POI000270,PROD016,56
DELI0000544,DEL000409,POI000271,PROD041,26
DELI0000545,DEL000410,POI000271,PROD041,39
DELI0000546,DEL000411,POI000272,PROD032,86
DELI0000547,DEL000411,POI000273,PROD024,50
DELI0000548,DEL000411,POI000274,PROD031,42
DELI0000549,DEL000412,POI000275,PROD013,41
DELI0000550,DEL000413,POI000275,PROD013,32
DELI0000551,DEL000414,POI000275,PROD013,14
DELI0000552,DEL000415,POI000276,PROD032,87
DELI0000553,DEL000415,POI000277,PROD034,24
DELI0000554,DEL000416,POI000276,PROD032,77
DELI0000555,DEL000416,POI000277,PROD034,12
DELI0000556,DEL000417,POI000276,PROD032,41
DELI0000557,DEL000417,POI000277,PROD034,19
