return_id,sale_id,batch_id,product_id,customer_id,return_date,quantity,reason,return_cost
RET0000093,SALE0001416,BAT0001213,PROD018,CUST076,2026-05-05,1,Defective,20.03
RET0000094,SALE0001430,BAT0000716,PROD033,CUST066,2025-07-19,1,Quality Issue,34.03
RET0000095,SALE0001438,BAT0001171,PROD028,CUST027,2025-09-23,6,Quality Issue,57.8
RET0000096,SALE0001453,BAT0000631,PROD046,CUST001,2025-10-09,2,Damaged,198.12
RET0000097,SALE0001491,BAT0000913,PROD029,CUST019,2026-07-09,2,Quality Issue,57.6
RET0000098,SALE0001494,BAT0001139,PROD011,CUST025,2026-04-09,6,Customer Changed Mind,272.88
RET0000099,SALE0001535,BAT0000433,PROD041,CUST054,2025-11-10,2,Wrong Product,133.37
RET0000100,SALE0001544,BAT0000716,PROD033,CUST005,2025-09-28,4,Damaged,179.58
RET0000101,SALE0001562,BAT0000180,PROD043,CUST078,2025-05-10,1,Wrong Product,92.12
RET0000102,SALE0001575,BAT0000815,PROD038,CUST069,2025-11-11,4,Damaged,410.55
RET0000103,SALE0001582,BAT0000291,PROD003,CUST089,2026-04-22,2,Damaged,249.93
RET0000104,SALE0001613,BAT0001173,PROD028,CUST074,2026-06-14,1,Customer Changed Mind,22.3
RET0000105,SALE0001616,BAT0000623,PROD025,CUST063,2025-10-16,1,Damaged,180.97
RET0000106,SALE0001670,BAT0000370,PROD016,CUST070,2026-05-21,3,Defective,131.39
RET0000107,SALE0001676,BAT0000001,PROD047,CUST014,2025-09-06,1,Wrong Product,90.14
RET0000108,SALE0001705,BAT0000540,PROD005,CUST090,2025-11-27,2,Damaged,25.55
RET0000109,SALE0001717,BAT0000811,PROD039,CUST023,2025-12-28,7,Customer Changed Mind,162.07
RET0000110,SALE0001738,BAT0000783,PROD013,CUST013,2025-10-25,1,Defective,88.02
RET0000111,SALE0001745,BAT0000291,PROD003,CUST074,2025-08-26,3,Damaged,367.81
RET0000112,SALE0001789,BAT0000734,PROD006,CUST014,2025-08-23,6,Defective,424.93
RET0000113,SALE0001821,BAT0000913,PROD029,CUST010,2026-07-11,6,Damaged,159.17
RET0000114,SALE0001834,BAT0000111,PROD034,CUST069,2025-10-02,1,Quality Issue,45.46
RET0000115,SALE0001853,BAT0000952,PROD021,CUST033,2025-05-17,2,Defective,220.14
RET0000116,SALE0001870,BAT0000111,PROD034,CUST058,2025-07-05,1,Defective,55.1
RET0000117,SALE0001872,BAT0000495,PROD009,CUST088,2026-04-22,3,Customer Changed Mind,88.32
RET0000118,SALE0001895,BAT0000622,PROD038,CUST050,2025-08-08,1,Wrong Product,60.83
RET0000119,SALE0001902,BAT0000762,PROD040,CUST028,2025-07-08,2,Quality Issue,113.1
RET0000120,SALE0001904,BAT0000811,PROD039,CUST077,2025-07-09,2,Defective,106.35
RET0000121,SALE0001917,BAT0001173,PROD028,CUST075,2025-08-31,3,Wrong Product,42.48
RET0000122,SALE0001932,BAT0001173,PROD028,CUST046,2026-02-15,2,Wrong Product,25.47
RET0000123,SALE0001994,BAT0000589,PROD029,CUST078,2025-08-28,3,Defective,88.09
RET0000124,SALE0002010,BAT0000886,PROD035,CUST024,2025-12-08,2,Wrong Product,160.16
RET0000125,SALE0002011,BAT0000762,PROD040,CUST057,2025-12-09,1,Damaged,63.79
RET0000126,SALE0002022,BAT0000111,PROD034,CUST074,2026-07-04,4,Customer Changed Mind,152.7
RET0000127,SALE0002050,BAT0000667,PROD007,CUST025,2026-03-09,1,Wrong Product,96.38
RET0000128,SALE0002120,BAT0000190,PROD002,CUST030,2026-01-17,3,Damaged,125.45
RET0000129,SALE0002127,BAT0000431,PROD022,CUST028,2026-05-14,3,Quality Issue,159.2
RET0000130,SALE0002142,BAT0000156,PROD030,CUST049,2025-09-12,1,Wrong Product,131.58
RET0000131,SALE0002157,BAT0000839,PROD026,CUST072,2025-07-08,1,Quality Issue,34.79
RET0000132,SALE0002160,BAT0000696,PROD031,CUST047,2026-07-17,4,Customer Changed Mind,515.44
RET0000133,SALE0002179,BAT0000762,PROD040,CUST067,2026-03-20,1,Quality Issue,59.21
RET0000134,SALE0002208,BAT0000190,PROD002,CUST085,2025-08-12,1,Damaged,90.87
RET0000135,SALE0002213,BAT0001139,PROD011,CUST061,2026-05-01,1,Quality Issue,54.75
RET0000136,SALE0002232,BAT0001316,PROD003,CUST054,2025-10-07,1,Quality Issue,70.0
RET0000137,SALE0002247,BAT0000112,PROD032,CUST016,2025-08-19,2,Quality Issue,290.41
RET0000138,SALE0002308,BAT0001114,PROD015,CUST024,2026-07-02,3,Quality Issue,160.56
RET0000139,SALE0002311,BAT0000302,PROD036,CUST039,2025-12-13,4,Defective,96.44
RET0000140,SALE0002324,BAT0000186,PROD014,CUST085,2026-02-07,1,Quality Issue,86.22
RET0000141,SALE0002348,BAT0000285,PROD019,CUST053,2026-05-07,4,Damaged,330.48
RET0000142,SALE0002385,BAT0001116,PROD041,CUST040,2026-05-19,5,Quality Issue,272.86
RET0000143,SALE0002427,BAT0000612,PROD012,CUST018,2025-06-29,1,Quality Issue,130.45
RET0000144,SALE0002471,BAT0000605,PROD004,CUST006,2026-06-06,4,Damaged,555.28
RET0000145,SALE0002484,BAT0000632,PROD046,CUST099,2026-01-02,3,Defective,373.37
RET0000146,SALE0002530,BAT0000653,PROD020,CUST079,2025-07-17,1,Damaged,82.43
RET0000147,SALE0002534,BAT0000111,PROD034,CUST058,2025-11-11,2,Quality Issue,154.12
RET0000148,SALE0002554,BAT0001116,PROD041,CUST050,2025-08-10,7,Customer Changed Mind,470.21
RET0000149,SALE0002578,BAT0000186,PROD014,CUST078,2025-09-22,1,Defective,104.42
RET0000150,SALE0002587,BAT0000696,PROD031,CUST098,2026-05-21,2,Damaged,226.74
RET0000151,SALE0002604,BAT0000302,PROD036,CUST030,2026-02-22,3,Defective,71.92
RET0000152,SALE0002610,BAT0000653,PROD020,CUST045,2025-06-28,3,Quality Issue,243.13
RET0000153,SALE0002622,BAT0000623,PROD025,CUST035,2026-06-02,1,Damaged,102.14
RET0000154,SALE0002623,BAT0001073,PROD027,CUST078,2026-04-01,3,Wrong Product,163.74
RET0000155,SALE0002626,BAT0000305,PROD036,CUST084,2025-08-23,1,Defective,26.41
RET0000156,SALE0002643,BAT0000805,PROD040,CUST100,2026-01-02,1,Wrong Product,59.86
RET0000157,SALE0002651,BAT0001012,PROD034,CUST039,2026-02-23,3,Wrong Product,133.0
RET0000158,SALE0002657,BAT0000178,PROD002,CUST099,2026-05-19,2,Defective,179.16
RET0000159,SALE0002664,BAT0001261,PROD022,CUST091,2025-08-14,3,Wrong Product,100.07
RET0000160,SALE0002665,BAT0000158,PROD046,CUST053,2025-08-13,3,Quality Issue,260.99
RET0000161,SALE0002684,BAT0000417,PROD042,CUST025,2026-01-08,1,Wrong Product,100.93
RET0000162,SALE0002707,BAT0001237,PROD001,CUST008,2025-12-23,3,Wrong Product,360.41
RET0000163,SALE0002708,BAT0000696,PROD031,CUST008,2025-12-06,6,Wrong Product,398.78
