sales_order_id,customer_id,order_date,sales_channel
SO000158,CUST011,2025-07-24,Online
SO000159,CUST070,2026-01-17,B2B Direct
SO000160,CUST067,2026-01-23,B2B Direct
SO000161,CUST051,2026-03-28,Marketplace
SO000162,CUST070,2026-02-19,Marketplace
SO000163,CUST038,2026-05-06,Retail Store
SO000164,CUST066,2025-05-06,Marketplace
SO000165,CUST036,2025-04-10,B2B Direct
SO000166,CUST056,2025-05-03,Retail Store
SO000167,CUST011,2025-09-25,B2B Direct
SO000168,CUST072,2025-05-13,Marketplace
SO000169,CUST061,2025-07-31,B2B Direct
SO000170,CUST016,2025-07-19,Retail Store
SO000171,CUST087,2025-11-01,Online
SO000172,CUST083,2025-04-25,B2B Direct
SO000173,CUST003,2025-12-18,B2B Direct
SO000174,CUST036,2025-09-05,Retail Store
SO000175,CUST031,2025-05-22,Retail Store
SO000176,CUST013,2026-03-10,Marketplace
SO000177,CUST072,2026-02-22,Marketplace
SO000178,CUST036,2025-08-23,B2B Direct
SO000179,CUST018,2025-05-25,Marketplace
SO000180,CUST096,2026-01-12,Retail Store
SO000181,CUST064,2025-09-04,Retail Store
SO000182,CUST035,2025-05-21,Marketplace
SO000183,CUST054,2025-04-20,B2B Direct
SO000184,CUST013,2025-11-12,Retail Store
SO000185,CUST096,2025-10-16,Online
SO000186,CUST099,2025-12-20,B2B Direct
SO000187,CUST042,2026-06-01,Marketplace
SO000188,CUST088,2025-10-07,Retail Store
SO000189,CUST033,2025-10-07,Marketplace
SO000190,CUST010,2025-04-23,B2B Direct
SO000191,CUST065,2025-05-01,B2B Direct
SO000192,CUST018,2026-02-20,B2B Direct
SO000193,CUST055,2025-08-10,Online
SO000194,CUST037,2025-11-22,B2B Direct
SO000195,CUST057,2026-03-07,Retail Store
SO000196,CUST041,2025-05-28,Online
SO000197,CUST036,2025-06-25,Marketplace
SO000198,CUST048,2025-09-26,Retail Store
SO000199,CUST072,2025-05-16,B2B Direct
SO000200,CUST060,2025-10-23,B2B Direct
SO000201,CUST042,2026-01-07,B2B Direct
SO000202,CUST095,2025-09-30,Retail Store
SO000203,CUST009,2026-06-07,Retail Store
SO000204,CUST090,2025-08-28,Retail Store
SO000205,CUST051,2025-10-11,Marketplace
SO000206,CUST032,2025-10-16,Retail Store
SO000207,CUST006,2025-08-02,Marketplace
SO000208,CUST045,2025-04-07,B2B Direct
SO000209,CUST031,2025-05-23,Marketplace
SO000210,CUST065,2026-02-23,Marketplace
SO000211,CUST091,2026-01-30,Retail Store
SO000212,CUST065,2026-03-30,Retail Store
SO000213,CUST056,2025-04-29,Online
SO000214,CUST084,2025-10-17,Marketplace
SO000215,CUST020,2026-04-19,B2B Direct
SO000216,CUST093,2025-06-01,Online
SO000217,CUST007,2025-07-04,Online
SO000218,CUST071,2025-10-20,Online
SO000219,CUST063,2025-12-20,Retail Store
SO000220,CUST086,2025-11-27,Retail Store
SO000221,CUST059,2025-06-02,Retail Store
SO000222,CUST001,2026-06-12,B2B Direct
SO000223,CUST082,2025-09-29,Marketplace
SO000224,CUST083,2026-02-06,Online
SO000225,CUST086,2025-05-11,Retail Store
SO000226,CUST054,2025-06-18,Marketplace
SO000227,CUST079,2025-05-01,Online
SO000228,CUST063,2026-03-19,Marketplace
SO000229,CUST039,2025-11-03,Online
SO000230,CUST005,2026-02-10,Marketplace
SO000231,CUST093,2025-11-28,Retail Store
SO000232,CUST032,2025-12-03,Marketplace
SO000233,CUST034,2026-02-01,Marketplace
SO000234,CUST098,2025-09-08,Online
SO000235,CUST080,2025-06-19,Marketplace
SO000236,CUST062,2026-01-16,B2B Direct
SO000237,CUST047,2026-03-05,Online
SO000238,CUST047,2025-06-16,Marketplace
SO000239,CUST092,2025-04-12,B2B Direct
SO000240,CUST084,2025-12-20,Retail Store
SO000241,CUST034,2025-09-10,Online
SO000242,CUST030,2025-04-09,Online
SO000243,CUST025,2026-04-07,B2B Direct
SO000244,CUST024,2025-05-12,Online
SO000245,CUST001,2026-04-06,Online
SO000246,CUST021,2025-12-01,Online
SO000247,CUST037,2025-11-02,Marketplace
SO000248,CUST090,2025-07-27,Online
SO000249,CUST080,2026-01-18,B2B Direct
SO000250,CUST064,2026-03-13,Marketplace
SO000251,CUST040,2026-05-13,Retail Store
SO000252,CUST083,2025-10-18,Marketplace
SO000253,CUST034,2025-10-25,B2B Direct
SO000254,CUST090,2026-06-21,Marketplace
SO000255,CUST086,2026-04-20,Marketplace
SO000256,CUST099,2025-08-20,Marketplace
SO000257,CUST003,2025-09-06,Online
SO000258,CUST049,2025-06-21,Retail Store
SO000259,CUST027,2025-11-21,B2B Direct
SO000260,CUST002,2026-03-12,Online
SO000261,CUST045,2025-05-19,Marketplace
SO000262,CUST011,2025-04-14,Retail Store
SO000263,CUST080,2025-10-28,Retail Store
SO000264,CUST058,2026-03-18,Online
SO000265,CUST029,2025-10-25,Online
SO000266,CUST029,2026-01-28,Marketplace
SO000267,CUST075,2026-05-08,Marketplace
SO000268,CUST079,2026-05-27,Marketplace
SO000269,CUST095,2026-05-13,Retail Store
SO000270,CUST072,2026-01-20,Marketplace
SO000271,CUST079,2025-09-13,B2B Direct
SO000272,CUST066,2026-06-23,Retail Store
SO000273,CUST080,2025-07-08,B2B Direct
SO000274,CUST014,2025-04-16,Retail Store
SO000275,CUST079,2025-10-10,Online
SO000276,CUST081,2026-04-16,Online
SO000277,CUST005,2026-05-11,Marketplace
SO000278,CUST034,2025-04-02,Online
SO000279,CUST009,2026-02-12,Retail Store
SO000280,CUST010,2025-07-10,Retail Store
SO000281,CUST097,2025-12-04,Online
SO000282,CUST023,2025-12-30,Online
SO000283,CUST073,2026-01-22,Online
SO000284,CUST073,2025-04-15,Marketplace
SO000285,CUST035,2025-04-15,Online
SO000286,CUST092,2026-02-22,Retail Store
SO000287,CUST086,2025-10-09,Online
SO000288,CUST012,2025-04-26,Marketplace
SO000289,CUST078,2025-12-05,Marketplace
SO000290,CUST022,2025-12-19,Retail Store
SO000291,CUST029,2025-06-27,Retail Store
SO000292,CUST061,2026-05-29,Online
SO000293,CUST043,2026-02-06,Retail Store
SO000294,CUST038,2026-05-18,B2B Direct
SO000295,CUST065,2026-06-09,Retail Store
SO000296,CUST048,2025-05-13,B2B Direct
SO000297,CUST043,2026-03-28,B2B Direct
SO000298,CUST052,2025-08-11,Retail Store
SO000299,CUST047,2026-01-22,B2B Direct
SO000300,CUST091,2025-10-19,Retail Store
SO000301,CUST078,2026-04-30,Retail Store
SO000302,CUST020,2025-07-06,Marketplace
SO000303,CUST071,2025-05-11,B2B Direct
SO000304,CUST053,2026-06-24,Online
SO000305,CUST076,2025-11-30,Retail Store
SO000306,CUST089,2025-10-22,Marketplace
SO000307,CUST024,2026-02-13,Marketplace
SO000308,CUST002,2025-06-22,Online
SO000309,CUST016,2025-08-16,B2B Direct
SO000310,CUST065,2025-10-02,B2B Direct
SO000311,CUST075,2025-08-07,Marketplace
SO000312,CUST019,2025-04-03,Marketplace
SO000313,CUST065,2025-04-24,Retail Store
SO000314,CUST052,2025-07-12,B2B Direct
SO000315,CUST095,2026-02-07,Marketplace
SO000316,CUST024,2025-08-22,Retail Store
SO000317,CUST090,2025-05-10,Marketplace
SO000318,CUST009,2026-02-01,Retail Store
SO000319,CUST086,2026-03-12,Retail Store
SO000320,CUST088,2025-05-13,B2B Direct
SO000321,CUST094,2026-01-24,Retail Store
SO000322,CUST100,2026-06-09,Online
SO000323,CUST013,2025-06-20,Marketplace
SO000324,CUST083,2025-09-22,Marketplace
SO000325,CUST036,2025-12-12,Retail Store
SO000326,CUST048,2026-04-14,Marketplace
SO000327,CUST019,2025-04-16,Retail Store
SO000328,CUST035,2025-10-16,B2B Direct
SO000329,CUST019,2025-10-20,Retail Store
SO000330,CUST054,2025-07-05,B2B Direct
SO000331,CUST004,2025-05-16,Online
SO000332,CUST041,2025-10-18,Marketplace
SO000333,CUST070,2025-10-21,B2B Direct
SO000334,CUST078,2026-05-14,Online
SO000335,CUST082,2025-12-17,Retail Store
SO000336,CUST093,2025-04-30,Online
SO000337,CUST069,2026-02-01,B2B Direct
SO000338,CUST048,2025-07-09,Marketplace
SO000339,CUST092,2025-07-28,Online
SO000340,CUST075,2025-12-05,Online
SO000341,CUST011,2026-01-07,Retail Store
SO000342,CUST018,2025-07-10,Retail Store
SO000343,CUST056,2026-05-23,Marketplace
SO000344,CUST030,2026-05-22,Retail Store
SO000345,CUST092,2026-01-28,B2B Direct
SO000346,CUST024,2025-05-06,B2B Direct
SO000347,CUST068,2025-12-15,Online
SO000348,CUST002,2025-11-30,Retail Store
SO000349,CUST060,2026-05-22,Online
SO000350,CUST036,2025-06-09,Retail Store
SO000351,CUST060,2026-04-11,Retail Store
SO000352,CUST075,2025-05-08,Marketplace
SO000353,CUST004,2026-01-23,Retail Store
SO000354,CUST061,2025-05-20,B2B Direct
SO000355,CUST045,2026-05-31,B2B Direct
SO000356,CUST045,2026-03-09,Marketplace
SO000357,CUST005,2025-08-17,B2B Direct
SO000358,CUST006,2025-12-01,B2B Direct
SO000359,CUST089,2025-11-01,B2B Direct
SO000360,CUST089,2026-05-21,B2B Direct
SO000361,CUST072,2025-10-02,Marketplace
SO000362,CUST082,2025-06-17,Marketplace
SO000363,CUST066,2025-08-29,Online
SO000364,CUST099,2026-02-20,Marketplace
SO000365,CUST078,2025-06-17,B2B Direct
SO000366,CUST001,2025-05-22,Retail Store
SO000367,CUST064,2026-05-04,B2B Direct
SO000368,CUST024,2026-05-02,B2B Direct
SO000369,CUST090,2025-08-10,Marketplace
SO000370,CUST038,2025-09-02,Online
SO000371,CUST010,2026-03-10,Retail Store
SO000372,CUST098,2025-08-23,Retail Store
SO000373,CUST028,2025-08-21,Online
SO000374,CUST008,2025-11-13,B2B Direct
SO000375,CUST011,2026-03-30,Marketplace
SO000376,CUST031,2026-03-26,B2B Direct
SO000377,CUST095,2025-06-11,Retail Store
SO000378,CUST088,2026-02-01,Retail Store
SO000379,CUST048,2025-11-12,B2B Direct
SO000380,CUST018,2025-04-13,Retail Store
SO000381,CUST080,2025-09-12,Marketplace
SO000382,CUST030,2025-06-28,Retail Store
SO000383,CUST100,2026-03-01,Marketplace
SO000384,CUST091,2025-06-22,B2B Direct
SO000385,CUST003,2025-07-09,B2B Direct
SO000386,CUST046,2025-07-21,Marketplace
SO000387,CUST027,2025-04-05,Marketplace
SO000388,CUST048,2026-04-17,B2B Direct
SO000389,CUST054,2025-04-20,Retail Store
SO000390,CUST034,2026-01-22,Retail Store
SO000391,CUST075,2026-06-09,Marketplace
SO000392,CUST085,2025-07-27,Retail Store
SO000393,CUST089,2026-06-05,Online
SO000394,CUST076,2026-01-15,Online
SO000395,CUST067,2025-04-03,Online
SO000396,CUST043,2025-06-21,Online
SO000397,CUST028,2026-06-20,Online
SO000398,CUST033,2025-10-05,Marketplace
SO000399,CUST036,2025-06-07,Retail Store
SO000400,CUST012,2025-12-10,Retail Store
SO000401,CUST080,2025-10-23,Online
SO000402,CUST009,2025-10-22,Retail Store
SO000403,CUST039,2026-02-23,Online
SO000404,CUST019,2025-12-13,Marketplace
SO000405,CUST027,2025-04-16,B2B Direct
SO000406,CUST009,2025-10-09,Online
SO000407,CUST091,2025-07-04,Marketplace
SO000408,CUST037,2025-10-29,Online
SO000409,CUST095,2025-06-27,Marketplace
SO000410,CUST012,2026-04-13,Online
SO000411,CUST019,2025-11-25,Online
SO000412,CUST058,2026-02-24,B2B Direct
SO000413,CUST093,2025-07-03,B2B Direct
SO000414,CUST054,2025-07-31,Online
SO000415,CUST043,2025-11-14,Marketplace
SO000416,CUST054,2025-11-02,Retail Store
SO000417,CUST032,2026-03-01,Online
SO000418,CUST026,2025-08-05,Online
SO000419,CUST066,2026-05-02,Retail Store
SO000420,CUST058,2026-03-23,Retail Store
SO000421,CUST005,2026-06-21,Retail Store
SO000422,CUST091,2025-12-12,B2B Direct
SO000423,CUST079,2025-06-01,B2B Direct
SO000424,CUST060,2026-03-12,B2B Direct
SO000425,CUST004,2026-06-05,Marketplace
SO000426,CUST010,2025-10-30,Online
SO000427,CUST041,2026-03-15,B2B Direct
SO000428,CUST066,2025-11-26,Marketplace
SO000429,CUST043,2026-02-12,Retail Store
SO000430,CUST044,2026-06-04,Retail Store
SO000431,CUST031,2025-06-24,B2B Direct
SO000432,CUST076,2026-03-19,Online
SO000433,CUST096,2025-08-03,Online
SO000434,CUST073,2025-10-16,Online
SO000435,CUST091,2025-10-14,Marketplace
SO000436,CUST054,2026-02-07,Marketplace
SO000437,CUST098,2026-06-11,Marketplace
SO000438,CUST023,2025-10-03,Online
SO000439,CUST004,2026-02-12,Online
SO000440,CUST036,2026-03-13,Retail Store
SO000441,CUST051,2025-08-10,Marketplace
SO000442,CUST089,2026-05-13,Marketplace
SO000443,CUST008,2026-04-12,B2B Direct
SO000444,CUST046,2025-10-19,Online
SO000445,CUST004,2025-07-09,Online
SO000446,CUST060,2026-04-07,Retail Store
SO000447,CUST038,2025-08-08,Marketplace
SO000448,CUST045,2025-09-21,Online
SO000449,CUST074,2025-12-05,B2B Direct
SO000450,CUST063,2025-07-07,Online
SO000451,CUST057,2025-10-12,Retail Store
SO000452,CUST053,2025-11-23,Online
SO000453,CUST093,2026-04-06,Retail Store
SO000454,CUST020,2025-07-24,Retail Store
SO000455,CUST095,2025-11-10,Marketplace
SO000456,CUST089,2025-12-31,Online
SO000457,CUST057,2025-04-16,B2B Direct
SO000458,CUST048,2025-11-10,Retail Store
SO000459,CUST007,2025-05-27,Retail Store
SO000460,CUST028,2025-04-21,Marketplace
SO000461,CUST019,2026-01-31,B2B Direct
SO000462,CUST018,2026-02-19,Marketplace
SO000463,CUST066,2026-01-30,Retail Store
SO000464,CUST025,2025-04-17,Online
SO000465,CUST094,2025-11-03,B2B Direct
SO000466,CUST048,2025-06-05,Online
SO000467,CUST050,2026-03-02,Online
SO000468,CUST070,2025-04-05,Marketplace
SO000469,CUST065,2025-08-26,Online
SO000470,CUST044,2025-09-23,B2B Direct
SO000471,CUST088,2025-06-24,Marketplace
SO000472,CUST010,2026-05-10,B2B Direct
SO000473,CUST091,2026-02-12,Online
SO000474,CUST037,2025-08-15,B2B Direct
SO000475,CUST003,2025-08-20,Marketplace
SO000476,CUST040,2025-06-25,Marketplace
SO000477,CUST041,2025-12-09,Retail Store
SO000478,CUST027,2026-04-27,B2B Direct
SO000479,CUST022,2026-05-21,Marketplace
SO000480,CUST082,2026-03-30,Marketplace
SO000481,CUST043,2026-03-03,Retail Store
SO000482,CUST032,2025-04-11,Marketplace
SO000483,CUST006,2026-04-08,Online
SO000484,CUST023,2026-02-16,B2B Direct
SO000485,CUST039,2026-02-06,Retail Store
SO000486,CUST045,2025-04-13,Online
SO000487,CUST093,2025-07-02,B2B Direct
SO000488,CUST086,2025-06-17,Retail Store
SO000489,CUST067,2025-07-01,Retail Store
SO000490,CUST052,2026-02-14,Marketplace
SO000491,CUST081,2026-01-13,B2B Direct
SO000492,CUST069,2025-12-03,B2B Direct
SO000493,CUST065,2026-02-04,Online
SO000494,CUST026,2025-11-22,Online
SO000495,CUST042,2025-07-22,Online
SO000496,CUST061,2026-03-14,B2B Direct
SO000497,CUST037,2026-06-22,Marketplace
SO000498,CUST092,2025-12-07,B2B Direct
SO000499,CUST094,2026-06-01,B2B Direct
SO000500,CUST068,2026-06-01,Online
SO000501,CUST083,2026-04-23,Retail Store
SO000502,CUST026,2025-04-08,Online
SO000503,CUST064,2026-04-15,Retail Store
SO000504,CUST066,2025-05-19,Marketplace
SO000505,CUST042,2026-01-13,Marketplace
SO000506,CUST079,2025-07-18,Marketplace
SO000507,CUST032,2026-02-09,Online
SO000508,CUST086,2025-10-22,Online
SO000509,CUST014,2025-04-11,B2B Direct
SO000510,CUST018,2025-12-31,Online
SO000511,CUST078,2025-04-29,B2B Direct
SO000512,CUST018,2025-07-04,Marketplace
SO000513,CUST068,2026-06-16,Online
SO000514,CUST050,2025-07-17,B2B Direct
SO000515,CUST005,2025-06-15,Marketplace
SO000516,CUST011,2025-08-27,Marketplace
SO000517,CUST079,2026-05-01,Online
SO000518,CUST065,2026-03-27,Retail Store
SO000519,CUST075,2026-02-13,Retail Store
SO000520,CUST097,2026-06-23,Marketplace
SO000521,CUST024,2025-05-20,Retail Store
SO000522,CUST033,2025-04-03,B2B Direct
SO000523,CUST055,2025-10-06,B2B Direct
SO000524,CUST078,2025-05-22,B2B Direct
SO000525,CUST099,2026-01-01,Marketplace
SO000526,CUST082,2025-07-17,Retail Store
SO000527,CUST042,2026-04-16,Online
SO000528,CUST046,2026-03-26,Retail Store
SO000529,CUST083,2026-01-15,B2B Direct
SO000530,CUST073,2025-07-17,Marketplace
SO000531,CUST060,2026-02-26,Marketplace
SO000532,CUST021,2025-06-24,Online
SO000533,CUST002,2026-01-21,B2B Direct
SO000534,CUST040,2026-01-13,B2B Direct
SO000535,CUST025,2025-04-21,Retail Store
SO000536,CUST041,2025-07-01,Marketplace
SO000537,CUST040,2026-03-12,Retail Store
SO000538,CUST022,2026-02-08,Marketplace
SO000539,CUST047,2025-06-26,Online
SO000540,CUST035,2025-06-16,B2B Direct
SO000541,CUST095,2026-05-15,Online
SO000542,CUST075,2025-07-04,Marketplace
SO000543,CUST041,2025-09-10,B2B Direct
SO000544,CUST035,2025-06-08,Marketplace
SO000545,CUST005,2025-04-20,Marketplace
SO000546,CUST084,2026-01-29,B2B Direct
SO000547,CUST045,2025-06-09,Retail Store
SO000548,CUST032,2025-10-05,B2B Direct
SO000549,CUST012,2026-03-21,B2B Direct
SO000550,CUST011,2025-08-16,Retail Store
SO000551,CUST063,2025-04-19,Marketplace
SO000552,CUST018,2025-04-05,B2B Direct
SO000553,CUST026,2026-02-12,Retail Store
SO000554,CUST016,2025-12-03,B2B Direct
SO000555,CUST055,2025-05-31,B2B Direct
SO000556,CUST075,2026-01-04,Marketplace
SO000557,CUST026,2025-09-16,Retail Store
SO000558,CUST080,2025-12-19,B2B Direct
SO000559,CUST067,2026-02-04,Marketplace
SO000560,CUST053,2025-12-26,B2B Direct
SO000561,CUST005,2025-09-04,Marketplace
SO000562,CUST076,2025-11-03,B2B Direct
SO000563,CUST032,2026-06-15,Online
SO000564,CUST008,2025-05-17,Retail Store
SO000565,CUST027,2026-04-04,Retail Store
SO000566,CUST015,2025-07-06,Online
SO000567,CUST015,2025-08-19,Marketplace
SO000568,CUST059,2025-04-07,Retail Store
SO000569,CUST041,2025-04-11,B2B Direct
SO000570,CUST075,2026-05-03,Marketplace
SO000571,CUST059,2025-07-09,Marketplace
SO000572,CUST052,2025-12-07,Retail Store
SO000573,CUST075,2026-01-21,B2B Direct
SO000574,CUST010,2026-06-06,Retail Store
SO000575,CUST061,2026-06-13,B2B Direct
SO000576,CUST026,2025-10-14,Retail Store
SO000577,CUST041,2026-05-30,Marketplace
SO000578,CUST049,2026-01-26,Online
SO000579,CUST016,2026-05-01,Marketplace
SO000580,CUST074,2026-04-07,Marketplace
SO000581,CUST058,2025-09-01,Marketplace
SO000582,CUST087,2025-06-01,Marketplace
SO000583,CUST077,2025-04-01,Online
SO000584,CUST069,2025-09-07,B2B Direct
SO000585,CUST099,2025-09-29,Online
SO000586,CUST050,2025-10-31,Online
SO000587,CUST061,2026-04-28,Retail Store
SO000588,CUST079,2026-06-19,B2B Direct
SO000589,CUST011,2025-10-10,Online
SO000590,CUST083,2025-11-17,Marketplace
SO000591,CUST095,2025-08-04,Marketplace
SO000592,CUST002,2026-04-08,Online
SO000593,CUST088,2025-08-29,Online
SO000594,CUST069,2026-06-15,Online
SO000595,CUST090,2025-04-17,B2B Direct
SO000596,CUST047,2025-06-18,Retail Store
SO000597,CUST052,2025-10-02,Retail Store
SO000598,CUST088,2025-10-08,Marketplace
SO000599,CUST054,2025-09-07,B2B Direct
SO000600,CUST068,2026-01-13,Marketplace
SO000601,CUST089,2025-05-27,Marketplace
SO000602,CUST099,2025-10-08,Retail Store
SO000603,CUST005,2025-11-28,Online
SO000604,CUST021,2025-07-10,Marketplace
SO000605,CUST086,2025-09-22,Online
SO000606,CUST071,2025-08-18,B2B Direct
SO000607,CUST001,2025-12-02,Marketplace
SO000608,CUST009,2026-04-23,Online
SO000609,CUST019,2025-06-26,Online
SO000610,CUST099,2026-02-27,Retail Store
SO000611,CUST031,2025-10-06,B2B Direct
SO000612,CUST056,2025-12-12,B2B Direct
SO000613,CUST098,2025-12-17,B2B Direct
SO000614,CUST029,2025-05-29,Retail Store
SO000615,CUST030,2026-06-11,Marketplace
SO000616,CUST081,2025-10-08,B2B Direct
SO000617,CUST050,2025-04-02,Marketplace
SO000618,CUST052,2025-07-16,Online
